Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
TKBP.SW,Thurgauer Kantonalbank,3.70B,186.00,,Banks - Regional,,,
GF.SW,Georg Fischer AG,3.48B,42.64,,Specialty Industrial Machinery,,,
BEKN.SW,Berner Kantonalbank AG,3.47B,372.50,,Banks - Regional,,,
ALLN.SW,Allreal Holding AG,3.41B,206.50,,Real Estate Services,,,
SFZN.SW,Siegfried Holding AG,3.40B,79.55,,Drug Manufacturers - Specialty & Generic,,,
BUCN.SW,Bucher Industries AG,3.14B,317.00,,Specialty Industrial Machinery,,,
ZUGER.SW,Zuger Kantonalbank,3.08B,"10,650.0",,Banks - Regional,,,
SUNN.SW,Sunrise Communications AG,3.02B,41.56,,Telecom Services,,,
ADEN.SW,Adecco Group AG,2.87B,16.25,,Staffing & Employment Services,,,
CMBN.SW,Cembra Money Bank AG,2.78B,95.70,,Banks - Regional,,,
MOVE.SW,Medacta Group SA,2.74B,138.40,,Medical Devices,,,
DAE.SW,Dätwyler Holding AG,2.72B,160.20,,Industrial Distribution,,,
COTN.SW,Comet Holding AG,2.70B,350.00,,Scientific & Technical Instruments,,,
SMG.SW,SMG Swiss Marketplace Group Holding AG,2.55B,25.85,,Internet Content & Information,,,
VATN.SW,Valiant Holding AG,2.55B,161.20,,Banks - Regional,,,
MOBN.SW,Mobimo Holding AG,2.53B,338.00,,Real Estate Services,,,
WKBN.SW,Walliser Kantonalbank,2.46B,157.50,,Banks - Regional,,,
ALSN.SW,ALSO Holding AG,2.44B,191.40,,Electronics & Computer Distribution,,,
BCGE.SW,Banque Cantonale de Genève SA,2.37B,33.30,,Banks - Regional,,,
CLN.SW,Clariant AG,2.33B,7.10,,Specialty Chemicals,,,
BLKB.SW,Basellandschaftliche Kantonalbank,2.32B,"1,075.00",,Banks - Regional,,,
VAHN.SW,Vaudoise Assurances Holding SA,2.21B,763.00,,Insurance - Diversified,,,
SRAIL.SW,Stadler Rail AG,2.19B,21.78,,Railroads,,,
CFT.SW,Compagnie Financière Tradition SA,2.15B,282.00,,Capital Markets,,,
CFTE.SW,Compagnie Financière Tradition SA,2.15B,278.00,,"Security Brokers, Dealers, and Flotation Companies",,,
DOKA.SW,dormakaba Holding AG,2.10B,50.60,,Building Products & Equipment,,,
TECN.SW,Tecan Group AG,1.94B,156.10,,Medical Instruments & Supplies,,,
IREN.SW,Investis Holding SA,1.93B,152.00,,Real Estate Services,,,
SWON.SW,SoftwareOne Holding AG,1.88B,9.29,,Software - Application,,,
KARN.SW,Kardex Holding AG,1.78B,231.00,,Specialty Industrial Machinery,,,
BRKN.SW,Burkhalter Holding AG,1.72B,162.40,,Engineering & Construction,,,
ISN.SW,Intershop Holding AG,1.64B,178.20,,Real Estate Services,,,
BCHN.SW,Burckhardt Compression Holding AG,1.55B,460.00,,Specialty Industrial Machinery,,,
JFN.SW,Jungfraubahn Holding AG,1.50B,256.50,,Railroads,,,
ARYN.SW,ARYZTA AG,1.45B,58.60,,Packaged Foods,,,
LAND.SW,Landis+Gyr Group AG,1.43B,50.10,,Electrical Equipment & Parts,,,
HIAG.SW,HIAG Immobilien Holding AG,1.42B,140.20,,Real Estate - Diversified,,,
BOSN.SW,Bossard Holding AG,1.35B,175.00,,Industrial Distribution,,,
TXGN.SW,TX Group AG,1.31B,127.60,,Publishing,,,
AERO.SW,Montana Aerospace AG,1.30B,20.70,,Aerospace & Defense,,,
SENS.SW,Sensirion Holding AG,1.26B,81.50,,Scientific & Technical Instruments,,,
REHN.SW,Romande Energie Holding SA,1.22B,48.40,,Utilities - Renewable,,,
INRN.SW,Interroll Holding AG,1.22B,"1,458.00",,Specialty Industrial Machinery,,,
OERL.SW,OC Oerlikon Corporation AG,1.19B,3.620,,Specialty Industrial Machinery,,,
PPGN.SW,PolyPeptide Group AG,1.19B,37.15,,Drug Manufacturers - Specialty & Generic,,,
IMPN.SW,Implenia AG,1.15B,62.60,,Engineering & Construction,,,
CHAM.SW,Cham Swiss Properties AG,1.14B,24.00,,Other,,,
SKAN.SW,SKAN Group AG,1.13B,50.10,,Medical Instruments & Supplies,,,
AEVS.SW,Aevis Victoria SA,1.09B,12.90,,Medical Care Facilities,,,
NEAG.SW,naturenergie holding AG,1.08B,32.50,,Utilities - Renewable,,,
IDIA.SW,Idorsia Ltd,1.08B,4.430,,Biotechnology,,,
BELL.SW,Bell Food Group AG,1.07B,171.60,,Packaged Foods,,,
ZUGN.SW,Zug Estates Holding AG,1.06B,"2,080.00",,Real Estate - Diversified,,,
FORN.SW,Forbo Holding AG,1.01B,712.00,,Building Products & Equipment,,,
EPIC.SW,EPIC Suisse AG,923.30M,83.80,,Real Estate Services,,,
MED.SW,Medartis Holding AG,922.28M,74.10,,Medical Devices,,,
PLAN.SW,Plazza AG,896.31M,433.00,,Real Estate - Diversified,,,
RSGN.SW,R&S Group Holding AG,884.97M,23.38,,Electrical Equipment & Parts,,,
KURN.SW,Kuros Biosciences AG,782.87M,19.70,,Medical Devices,,,
ZEHN.SW,Zehnder Group AG,713.60M,64.00,,Building Products & Equipment,,,
AUTN.SW,Autoneum Holding AG,673.35M,116.00,,Auto Parts,,,
CICN.SW,Cicor Technologies Ltd.,669.69M,150.20,,Electronic Components,,,
MOZN.SW,mobilezone holding ag,633.30M,14.70,,Specialty Retail,,,
BSLN.SW,Basilea Pharmaceutica AG,607.40M,48.85,,Biotechnology,,,
WARN.SW,Warteck Invest AG,603.28M,"1,960.00",,Real Estate Services,,,
FREN.SW,Fundamenta Real Estate AG,570.85M,16.80,,Real Estate Services,,,
APGN.SW,APG|SGA SA,545.59M,184.50,,Advertising Agencies,,,
LEHN.SW,LEM Holding SA,518.60M,455.50,,Electronic Components,,,
RIEN.SW,Rieter Holding AG,433.04M,3.175,,Specialty Industrial Machinery,,,
NREN.SW,Novavest Real Estate AG,412.94M,40.90,,Real Estate - Diversified,,,
SWTQ.SW,Schweiter Technologies AG,409.18M,286.00,,Building Products & Equipment,,,
CNTL.SW,Centiel AG,408.01M,5.00,,Electrical Equipment & Parts,,,
PMN.SW,Phoenix Mecano AG,386.45M,421.00,,Specialty Industrial Machinery,,,
BYS.SW,Bystronic AG,379.43M,183.80,,Specialty Industrial Machinery,,,
VETN.SW,Vetropack Holding AG,372.29M,18.70,,Packaging & Containers,,,
DOCM.SW,DocMorris AG,356.44M,7.34,,Pharmaceutical Retailers,,,
MEDX.SW,medmix AG,353.85M,8.68,,Specialty Industrial Machinery,,,
CPHN.SW,CPH Group AG,351.31M,58.60,,Paper & Paper Products,,,
SNBN.SW,Schweizerische Nationalbank,337.00M,"3,370.00",,Banks - Regional,,,
MTG.SW,Meier Tobler Group AG,331.42M,30.70,,Specialty Industrial Machinery,,,
SFPN.SW,SF Urban Properties AG,327.15M,98.00,,Real Estate Services,,,
BVZN.SW,BVZ Holding AG,319.59M,"1,620.00",,Railroads,,,
METN.SW,Metall Zug AG,317.60M,711.00,,Medical Devices,,,
GLKBN.SW,Glarner Kantonalbank,315.90M,23.40,,Banks - Regional,,,
VBSN.SW,IVF Hartmann Holding AG,314.34M,132.00,,Medical Instruments & Supplies,,,
OFN.SW,Orell Füssli AG,309.68M,156.50,,Specialty Business Services,,,
ELMN.SW,Elma Electronic AG,299.32M,"1,310.00",,Computer Hardware,,,
HBLN.SW,Hypothekarbank Lenzburg AG,298.88M,"4,140.00",,Mortgage Finance,,,
