Symbol,Company Name,Exchange,Industry,Market Cap
TSXV:AGLD,Austral Gold Limited,TSX Venture Exchange,Other Precious Metals & Mining,83512960
TSXV:KDK,Kodiak Copper Corp.,TSX Venture Exchange,Other Precious Metals & Mining,68714164
TSXV:RARE,Tactical Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,70987096
TSXV:GPAC,Great Pacific Gold Corp.,TSX Venture Exchange,Gold,53228128
TSXV:RYR,Royal Road Minerals Limited,TSX Venture Exchange,Gold,68463810
TSXV:AZS,Arizona Gold & Silver Inc.,TSX Venture Exchange,Other Precious Metals & Mining,68481808
TSXV:EBM,Eastwood Bio-Medical Canada Inc.,TSX Venture Exchange,Food Distribution,68197109
TSXV:NOAL,NOA Lithium Brines Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,65072368
TSXV:OYL,CGX Energy Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,67709800
TSXV:PGZ,Pan Global Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,60105540
TSXV:LEM,Leading Edge Materials Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,66957800
TSXV:GFG,GFG Resources Inc,TSX Venture Exchange,Gold,66925100
TSXV:GPG,Grande Portage Resources Ltd.,TSX Venture Exchange,Gold,64575360
TSXV:NXLV,NexLiving Communities Inc.,TSX Venture Exchange,Real Estate Services,61666428
TSXV:EQ,EQ Inc.,TSX Venture Exchange,Advertising Agencies,66114259
TSXV:TSG,"TriStar Gold, Inc.",TSX Venture Exchange,Gold,48255075
TSXV:AAN,Aton Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,65001751
TSXV:RPX,RPX Gold Inc.,TSX Venture Exchange,Gold,52469006
TSXV:DEF,Defiance Silver Corp.,TSX Venture Exchange,Other Precious Metals & Mining,63947370
TSXV:SRL,Salazar Resources Limited,TSX Venture Exchange,Other Industrial Metals & Mining,63485663
TSXV:GSR,Gold Strike Resources Corp.,TSX Venture Exchange,Gold,31187631
TSXV:BMR,Battery Mineral Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,62689256
TSXV:DRY,Dryden Gold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,66834352
TSXV:B,BCM Resources Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,58346904
TSXV:XBOT,Realbotix Corp.,TSX Venture Exchange,Computer Hardware,61502132
TSXV:SWAN,Black Swan Graphene Inc.,TSX Venture Exchange,Chemicals,65327688
TSXV:AZM,Azimut Exploration Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,62482980
TSXV:SEVA,Seva Mining Corp.,TSX Venture Exchange,Gold,61927008
TSXV:EQTY,Equity Metals Corporation,TSX Venture Exchange,Other Precious Metals & Mining,50543117
TSXV:ARCH,Arch Biopartners Inc.,TSX Venture Exchange,Biotechnology,64536625
TSXV:WOLF,Grey Wolf Animal Health Corp.,TSX Venture Exchange,Personal Services,61741280
TSXV:MNLX,MiniLuxe Holding Corp.,TSX Venture Exchange,Personal Services,58616816
TSXV:WMK,Whitemud Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,63092052
TSXV:DEFN,Defense Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,60880055
TSXV:NMC,Nuvau Minerals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,61140224
TSXV:OTC,Ocumetics Technology Corp.,TSX Venture Exchange,Medical Instruments & Supplies,27160877
TSXV:COV,Covalon Technologies Ltd.,TSX Venture Exchange,Medical Instruments & Supplies,61035950
TSXV:TNR,TNR Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,60710852
TSXV:KLDC,Kirkland Lake Discoveries Corp.,TSX Venture Exchange,Gold,33221425
TSXV:IBAT,International Battery Metals Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,64192288
TSXV:GTC,Getty Copper Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,54578132
TSXV:OGW,Ongwe Minerals Inc.,TSX Venture Exchange,Gold,56336356
TSXV:WAM,Alaska Silver Corp.,TSX Venture Exchange,Other Precious Metals & Mining,29592552
TSXV:DDD,Metavista3D Inc.,TSX Venture Exchange,Software - Application,62594360
TSXV:CAM,Cascadia Minerals Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,20601110
TSXV:ANK,Angkor Resources Corp.,TSX Venture Exchange,Gold,57825034
TSXV:KC,Kutcho Copper Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,58137971
TSXV:RK,Rockhaven Resources Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,57096612
TSXV:ROK,ROK Resources Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,56618640
TSXV:LME,Laurion Mineral Exploration Inc.,TSX Venture Exchange,Gold,55743200
TSXV:GSP,Gensource Potash Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,56204152
TSXV:ONE,01 Quantum Inc.,TSX Venture Exchange,Software - Application,55710360
TSXV:AVN,Avanti Helium Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,55248980
TSXV:ZAU,Zodiac Gold Inc.,TSX Venture Exchange,Gold,24955714
TSXV:LEGY,Legacy Gold Mines Ltd.,TSX Venture Exchange,Gold,56833624
TSXV:GIP,Green Impact Partners Inc.,TSX Venture Exchange,Waste Management,48279983
TSXV:VITA,Vitalist Inc.,TSX Venture Exchange,Information Technology Services,41376177
TSXV:BPAG,BP Silver Corp.,TSX Venture Exchange,Silver,52036148
TSXV:AZEM,Arizona Eagle Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,48516812
TSXV:CTM,Canterra Minerals Corporation,TSX Venture Exchange,Other Precious Metals & Mining,53041755
TSXV:TAJ,Tajiri Resources Corp.,TSX Venture Exchange,Gold,37999337
TSXV:HART,Gold Hart Copper Corp.,TSX Venture Exchange,Other Precious Metals & Mining,59468684
TSXV:LIO,Lion One Metals Limited,TSX Venture Exchange,Gold,41360064
TSXV:GLB,Goldbank Mining Corporation,TSX Venture Exchange,Gold,51961836
TSXV:VUL,Vulcan Minerals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,51960959
TSXV:MHUB,Minehub Technologies Inc.,TSX Venture Exchange,Software - Application,51896555
TSXV:ALTA,Altamira Gold Corp.,TSX Venture Exchange,Gold,51883368
TSXV:LVG,Lake Victoria Gold Ltd.,TSX Venture Exchange,Gold,38769943
TSXV:MD,Midland Exploration Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,46883795
TSXV:FTUR,Future Fuels Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,51245672
TSXV:NRX,NurExone Biologic Inc.,TSX Venture Exchange,Biotechnology,50625216
TSXV:TK,Tinka Resources Limited,TSX Venture Exchange,Other Industrial Metals & Mining,6212194
TSXV:BUFF,Buffalo Potash Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,35874536
TSXV:ALEX,Alpha Exploration Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,22542317
TSXV:BRM,BioRem Inc.,TSX Venture Exchange,Pollution & Treatment Controls,50597037
TSXV:IVS,Inventus Mining Corp.,TSX Venture Exchange,Gold,50547544
TSXV:PHNM,Phenom Resources Corp.,TSX Venture Exchange,Gold,50268322
TSXV:HMR,Homerun Resources Inc.,TSX Venture Exchange,Gold,50266645
TSXV:XXIX,XXIX Metal Corp.,TSX Venture Exchange,Copper,37148958
TSXV:CANX,CANEX Metals Inc.,TSX Venture Exchange,Gold,35268116
TSXV:PUR,Premier American Uranium Inc.,TSX Venture Exchange,Uranium,35182436
TSXV:BLM,BluMetric Environmental Inc.,TSX Venture Exchange,Waste Management,39637268
TSXV:PRG,Precipitate Gold Corp.,TSX Venture Exchange,Gold,33243585
TSXV:ZOMD,Zoomd Technologies Ltd.,TSX Venture Exchange,Internet Content & Information,49137247
TSXV:MIR,MedMira Inc.,TSX Venture Exchange,Biotechnology,49121141
TSXV:MMG,Metallic Minerals Corp.,TSX Venture Exchange,Other Precious Metals & Mining,42563973
TSXV:VIPR,Silver Viper Minerals Corp.,TSX Venture Exchange,Other Precious Metals & Mining,29162555
TSXV:LCE,Century Lithium Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,47840052
TSXV:BBB,Brixton Metals Corporation,TSX Venture Exchange,Other Precious Metals & Mining,47490981
TSXV:CTRL,Edge Total Intelligence Inc.,TSX Venture Exchange,Software - Infrastructure,33428153
TSXV:SAGA,Saga Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,38062624
TSXV:FMS,Focus Graphite Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,46469526
TSXV:SAG,Sterling Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,30920800
TSXV:FRSH,The Fresh Factory B.C. Ltd.,TSX Venture Exchange,Packaged Foods,45366208
TSXV:UFC,Urbanfund Corp.,TSX Venture Exchange,Real Estate - Diversified,45822140
TSXV:KG,Klondike Gold Corp.,TSX Venture Exchange,Gold,41887958
TSXV:GBU,Gabriel Resources Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,36850000
TSXV:VIO,Vior Gold Corporation Inc.,TSX Venture Exchange,Gold,45716676
TSXV:AUM,AuMEGA Metals Ltd,TSX Venture Exchange,Gold,31024740
TSXV:TIG,Triumph Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,38246544
TSXV:SRR,Source Rock Royalties Ltd.,TSX Venture Exchange,Oil & Gas Midstream,45126900
TSXV:SDI,Stampede Drilling Inc.,TSX Venture Exchange,Oil & Gas Drilling,45124428
TSXV:NPR,North Peak Resources Ltd.,TSX Venture Exchange,Gold,44976278
TSXV:GUN,Gunpoint Exploration Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,44827448
TSXV:BKM,Pacific Booker Minerals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,38233281
TSXV:NBM,NEO Battery Materials Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,41134329
TSXV:SRC,Stakeholder Gold Corp.,TSX Venture Exchange,Gold,42336652
TSXV:SCY,Scandium International Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,46452572
TSXV:MENE,Mene Inc.,TSX Venture Exchange,Luxury Goods,44178407
TSXV:GMA,Geomega Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,43804313
TSXV:FOR,Fortune Bay Corp.,TSX Venture Exchange,Gold,44036483
TSXV:NMI,Namibia Critical Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,43213554
TSXV:AZT,Aztec Minerals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,33079050
TSXV:ONAU,ONGold Resources Ltd.,TSX Venture Exchange,Gold,15402164
TSXV:A.H,Armor Minerals Inc.,TSX Venture Exchange,Metal Mining,
TSXV:XGC,Xali Gold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,40097960
TSXV:FCLI,Full Circle Lithium Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,41498176
TSXV:COR,Camino Minerals Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,18664264
TSXV:RGC,Relevant Gold Corp.,TSX Venture Exchange,Gold,48844696
TSXV:UVC,Illumisoft Lighting Corp.,TSX Venture Exchange,Electrical Equipment & Parts,37400444
TSXV:YES,CHAR Technologies Ltd.,TSX Venture Exchange,Waste Management,41449870
TSXV:FHYD,First Hydrogen Corp.,TSX Venture Exchange,Auto Manufacturers,35339625
TSXV:MSG,Mithril Silver and Gold Limited,TSX Venture Exchange,Other Industrial Metals & Mining,48746816
TSXV:VML,Viscount Mining Corp.,TSX Venture Exchange,Other Precious Metals & Mining,40876595
TSXV:EDM,EDM Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,38345784
TSXV:FOXT,Fox Tungsten Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,43981840
TSXV:CCDS,Carrier Connect Data Solutions Inc.,TSX Venture Exchange,Information Technology Services,40726360
TSXV:BRW,Brunswick Exploration Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,40946859
TSXV:AEP,Atlas Engineered Products Ltd.,TSX Venture Exchange,Building Products & Equipment,40890433
TSXV:PINK,"Perimeter Medical Imaging AI, Inc.",TSX Venture Exchange,Medical Devices,24634020
TSXV:RME,Roland Mineral Enterprises Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,31066260
TSXV:WHY,West High Yield (W.H.Y.) Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,40480994
TSXV:EML,Electric Metals (USA) Limited,TSX Venture Exchange,Silver,39367268
TSXV:QZM,Quartz Mountain Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,40291497
TSXV:IEI,Imperial Equities Inc.,TSX Venture Exchange,Real Estate Services,34497033
TSXV:TVI,TVI Pacific Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,40072287
TSXV:VCI,Vitreous Glass Inc.,TSX Venture Exchange,Waste Management,40043115
TSXV:ZYUS,ZYUS Life Sciences Corporation,TSX Venture Exchange,Drug Manufacturers - Specialty & Generic,39635416
TSXV:MUN,Mundoro Capital Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,35884220
TSXV:QGR,Q-Gold Resources Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,41668268
TSXV:SMN,Sun Summit Minerals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,27437037
TSXV:MMET,Miata Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,39169832
TSXV:STUD,Stallion Uranium Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,40535784
TSXV:KCC,Kincora Copper Limited,TSX Venture Exchange,Copper,239211220
TSXV:ATY,Atico Mining Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,38990680
TSXV:CCEC,Cancambria Energy Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,38888152
TSXV:JUGR,Juggernaut Exploration Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,38861311
TSXV:SPOT,EarthLabs Inc.,TSX Venture Exchange,Information Technology Services,38797668
TSXV:LAF,Lithium Africa Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,39965308
TSXV:BTR,Bonterra Resources Inc.,TSX Venture Exchange,Gold,30334500
TSXV:DLP,DLP Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,29240856
TSXV:NLH,Nova Leap Health Corp.,TSX Venture Exchange,Medical Care Facilities,37981700
TSXV:VLC,Velocity Minerals Ltd.,TSX Venture Exchange,Gold,37838579
TSXV:STRR,Star Royalties Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,37788212
TSXV:PX,Pelangio Exploration Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,29664033
TSXV:CMI,C-Com Satellite Systems Inc.,TSX Venture Exchange,Communication Equipment,37608285
TSXV:JAY,Blue Jay Gold Corp.,TSX Venture Exchange,Gold,35662672
TSXV:PLAN,Progressive Planet Solutions Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,37451661
TSXV:TITI,Titiminas Silver Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,37340772
TSXV:TGOL,Thunder Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,33762955
TSXV:WEX,Western Exploration Inc.,TSX Venture Exchange,Other Precious Metals & Mining,31023852
TSXV:ARH,Altima Energy Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,26778226
TSXV:PVT,Pivotree Inc.,TSX Venture Exchange,Information Technology Services,36645430
TSXV:WIL,Wilton Resources Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,36387952
TSXV:LSL,LSL Pharma Group Inc.,TSX Venture Exchange,Drug Manufacturers - Specialty & Generic,40553540
TSXV:MERG,Metal Energy Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,21722064
TSXV:FNC,Fancamp Exploration Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,36067815
TSXV:RSS,RESAAS Services Inc.,TSX Venture Exchange,Software - Application,36135910
TSXV:GEMG,Gemdale Gold Inc.,TSX Venture Exchange,Gold,36981476
TSXV:VCG,Visionary Copper and Gold Mines Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,27121866
TSXV:CD,Cantex Mine Development Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,29461050
TSXV:CLM,Consolidated Lithium Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,32809336
TSXV:NCI,NTG Clarity Networks Inc.,TSX Venture Exchange,Software - Application,35518300
TSXV:EMNT,Eminent Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,35669747
TSXV:BAU,Blue Star Gold Corp.,TSX Venture Exchange,Gold,32806045
TSXV:NXH,Next Hydrogen Solutions Inc.,TSX Venture Exchange,Specialty Industrial Machinery,12735336
TSXV:KNG,Kingsmen Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,34523088
TSXV:KRI,Kobo Resources Inc.,TSX Venture Exchange,Gold,27065172
TSXV:DAU,Desert Gold Ventures Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,25696740
TSXV:ESAF,Syntholene Energy Corp.,TSX Venture Exchange,Petroleum Refining,
TSXV:CHER,Cheelcare Inc.,TSX Venture Exchange,Medical Devices,33369420
TSXV:XX,Avante Corp.,TSX Venture Exchange,Security & Protection Services,34110386
TSXV:V,Verdera Energy Corp.,TSX Venture Exchange,Uranium,34077596
TSXV:OML,Omni-Lite Industries Canada Inc.,TSX Venture Exchange,Metal Fabrication,34360192
TSXV:NPTH,NeuPath Health Inc.,TSX Venture Exchange,Medical Care Facilities,32584856
TSXV:CCMM,Coyote Copper Mines Inc.,TSX Venture Exchange,Copper,33895852
TSXV:CTZ,NamSys Inc.,TSX Venture Exchange,Software - Application,33296396
TSXV:CEC,CanAsia Energy Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,33274203
TSXV:AMM,Almaden Minerals Ltd.,TSX Venture Exchange,Gold,32967164
TSXV:SMD,Strategic Metals Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,31650950
TSXV:PNTR,Pantera Silver Corp.,TSX Venture Exchange,Other Precious Metals & Mining,30337833
TSXV:ENW,EnWave Corporation,TSX Venture Exchange,Specialty Industrial Machinery,32647098
TSXV:SRA,Stria Lithium Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,32437621
TSXV:SCAN,"Liberty Defense Holdings, Ltd.",TSX Venture Exchange,Security & Protection Services,5898325
TSXV:NXG,NexgenRx Inc.,TSX Venture Exchange,Health Information Services,33069468
TSXV:CH,Charbone Corporation,TSX Venture Exchange,Chemicals,18030907
TSXV:VM,Voyageur Pharmaceuticals Ltd.,TSX Venture Exchange,Drug Manufacturers - Specialty & Generic,25126621
TSXV:FCA.UN,Firm Capital Apartment Real Estate Investment Trust,TSX Venture Exchange,REIT - Residential,34143664
TSXV:MAPS,ProStar Holdings Inc.,TSX Venture Exchange,Software - Application,30685589
TSXV:HEVI,Helium Evolution Incorporated,TSX Venture Exchange,Oil & Gas Exploration & Production,19016302
TSXV:RSM,Resouro Strategic Metals Inc.,TSX Venture Exchange,Gold,31739062
TSXV:CLCO,Culico Metals Inc.,TSX Venture Exchange,Asset Management,30678737
TSXV:LBNK,LithiumBank Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,30596820
TSXV:OTS.H,Optimus Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,30517978
TSXV:DTEA,DAVIDsTEA Inc.,TSX Venture Exchange,Packaged Foods,28426380
TSXV:CSOC.B,Canso Select Opportunities Corporation,TSX Venture Exchange,Asset Management,30006012
TSXV:CSOC.A,Canso Select Opportunities Corporation,TSX Venture Exchange,Asset Management,28857958
TSXV:GIII,ReGen III Corp.,TSX Venture Exchange,Oil & Gas Refining & Marketing,26234325
TSXV:MANU,Manhattan Uranium Discovery Corp.,TSX Venture Exchange,Gold,42381000
TSXV:RAK,Rackla Metals Inc.,TSX Venture Exchange,Gold,27464241
TSXV:SHRX,Sharp Therapeutics Corp.,TSX Venture Exchange,Biotechnology,30075700
TSXV:ROMJ,Rubicon Organics Inc.,TSX Venture Exchange,Drug Manufacturers - Specialty & Generic,29893231
TSXV:EMM,Giyani Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,24688170
TSXV:OZ,Valkea Resources Corp,TSX Venture Exchange,Gold,14139720
TSXV:FTRC,The FUTR Corporation,TSX Venture Exchange,Software - Infrastructure,25071712
TSXV:PJX,PJX Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,29906966
TSXV:OCI,Orecap Invest Corp.,TSX Venture Exchange,Gold,29800176
TSXV:W,Spartan Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,25448312
TSXV:SPC,SPC Nickel Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,29604306
TSXV:GRB,Greenbriar Sustainable Living Inc.,TSX Venture Exchange,Utilities - Renewable,29329239
TSXV:JG,Japan Gold Corp.,TSX Venture Exchange,Gold,29206945
TSXV:SEND,Sendero Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,26284128
TSXV:WEB,Westbridge Renewable Energy S.A.,TSX Venture Exchange,Utilities - Renewable,29190184
TSXV:CDA,Canuc Resources Corporation,TSX Venture Exchange,Oil & Gas Exploration & Production,29178564
TSXV:GX,Guardian Exploration Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,26737374
TSXV:ROOF,Northstar Clean Technologies Inc.,TSX Venture Exchange,Waste Management,28973406
TSXV:BTCT,Bitcoin Treasury Corporation,TSX Venture Exchange,Credit Services,28971246
TSXV:MGRO,MustGrow Biologics Corp.,TSX Venture Exchange,Agricultural Inputs,25813518
TSXV:CYBE,"CyberCatch Holdings, Inc.",TSX Venture Exchange,Software - Infrastructure,28067898
TSXV:MRZ,Mirasol Resources Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,28794086
TSXV:CMU,Comet Industries Ltd.,TSX Venture Exchange,Real Estate Services,28719223
TSXV:NVLH,Nevada Lithium Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,28682340
TSXV:CGM,Canadian Goldfields Discovery Corp.,TSX Venture Exchange,Other,18714756
TSXV:ADK,DIAGNOS Inc.,TSX Venture Exchange,Health Information Services,23937800
TSXV:MRZL,Mont Royal Resources Limited,TSX Venture Exchange,Other Industrial Metals & Mining,26949032
TSXV:MCC,Morocco Strategic Minerals Corporation,TSX Venture Exchange,Gold,20667952
TSXV:TTI,"Thiogenesis Therapeutics, Corp.",TSX Venture Exchange,Biotechnology,28509776
TSXV:ROAR,Lion Rock Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,27228690
TSXV:MOO,Moon River Moly Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,27781818
TSXV:TRR,Terra Rossa Gold Ltd.,TSX Venture Exchange,Gold,27737036
TSXV:IGO,Independence Gold Corp.,TSX Venture Exchange,Gold,23589038
TSXV:SOU,Southern Energy Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,27469121
TSXV:TMG,Thermal Energy International Inc.,TSX Venture Exchange,Pollution & Treatment Controls,27354078
TSXV:PUMA,Puma Exploration Inc.,TSX Venture Exchange,Gold,27346275
TSXV:SPMC,South Pacific Metals Corp.,TSX Venture Exchange,Gold,23507606
TSXV:DLTA,Delta Resources Limited,TSX Venture Exchange,Gold,23200210
TSXV:VCT,Volt Carbon Technologies Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,33003910
TSXV:KIRO,Kairos Gold Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,26272556
TSXV:CVB,Compass Gold Corporation,TSX Venture Exchange,Gold,26991232
TSXV:PTU,Purepoint Uranium Group Inc.,TSX Venture Exchange,Uranium,26987877
TSXV:SCAI,SalesCloser Technologies Ltd.,TSX Venture Exchange,Software - Infrastructure,26967172
TSXV:OTMC,Oreterra Metals Corp.,TSX Venture Exchange,Gold,31016976
TSXV:FRED,Fredonia Mining Inc.,TSX Venture Exchange,Other Precious Metals & Mining,27237440
TSXV:PTX,PTX Metals Inc.,TSX Venture Exchange,Gold,23340934
TSXV:MKT,Prospect Prediction Markets Inc.,TSX Venture Exchange,Software - Infrastructure,26326232
TSXV:TWO,T2 Metals Corp.,TSX Venture Exchange,Copper,24370004
TSXV:AFCC.H,Automotive Finco Corp.,TSX Venture Exchange,Credit Services,25963382
TSXV:TRBC,Tribeca Resources Corporation,TSX Venture Exchange,Copper,27280538
TSXV:ECM.H,Ecolomondo Corporation,TSX Venture Exchange,"Special Industry Machinery, not elsewhere classified",
TSXV:TWR,Tower Resources Ltd.,TSX Venture Exchange,Gold,25992165
TSXV:STE,Starr Peak Mining Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,25854073
TSXV:KDOZ,Kidoz Inc.,TSX Venture Exchange,Advertising Agencies,26260900
TSXV:SNAG,Silver North Resources Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,16869719
TSXV:GSD,Devonian Health Group Inc.,TSX Venture Exchange,Biotechnology,27113444
TSXV:GSTM,Goldstorm Metals Corp.,TSX Venture Exchange,Gold,21251838
TSXV:MCI,Minnova Corp.,TSX Venture Exchange,Gold,20248916
TSXV:CNVI,Conavi Medical Corp.,TSX Venture Exchange,Medical Devices,23803106
TSXV:INIK,Ionik Corporation,TSX Venture Exchange,Advertising Agencies,41061124
TSXV:LMS,Latin Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,26352172
TSXV:LQWD,LQWD Technologies Corp.,TSX Venture Exchange,Software - Application,25219082
TSXV:WML,Wealth Minerals Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,24825970
TSXV:USS,Uniserve Communications Corporation,TSX Venture Exchange,Telecom Services,24759090
TSXV:BEX,Benton Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,22135388
TSXV:DEX,Almadex Minerals Ltd.,TSX Venture Exchange,Gold,24524359
TSXV:GRDM,Grid Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,24489892
TSXV:ARU,Aurania Resources Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,24467719
TSXV:REKO,Reko International Group Inc.,TSX Venture Exchange,Specialty Industrial Machinery,24408295
TSXV:MAGA.H,Patriot Resources Corp.,TSX Venture Exchange,Miscellaneous Manufacturing Industries,
TSXV:EAM,East Africa Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,24207621
TSXV:LPS,Legend Power Systems Inc.,TSX Venture Exchange,Electrical Equipment & Parts,24119512
TSXV:NGC,Northern Graphite Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,19776560
TSXV:PER,Peruvian Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,23029348
TSXV:SAGE,Sage Potash Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,24815102
TSXV:TAO,TAG Oil Ltd.,TSX Venture Exchange,Oil & Gas Exploration & Production,15983333
TSXV:DME,Desert Mountain Energy Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,23851826
TSXV:WGT,Westgate Energy Inc.,TSX Venture Exchange,Oil & Gas Drilling,20880484
TSXV:MIM,MiMedia Holdings Inc.,TSX Venture Exchange,Software - Infrastructure,17749146
TSXV:GRL,GreenLight Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,24334302
TSXV:NIO,Nio Strategic Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,22204776
TSXV:DPF,Dr. Phone Fix Canada Corporation,TSX Venture Exchange,Consumer Electronics,23525806
TSXV:RRI,Riverside Resources Inc.,TSX Venture Exchange,Other Precious Metals & Mining,18695875
TSXV:ALGR,Algo Grande Copper Corp.,TSX Venture Exchange,Gold,23286860
TSXV:MN,Manganese X Energy Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,23120240
TSXV:BIGG,BIGG Digital Assets Inc.,TSX Venture Exchange,Capital Markets,23125753
