Symbol,Company Name,Exchange,Industry,Market Cap
TSXV:NAU,Nevgold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,304493577
TSXV:SASK,Atha Energy Corp.,TSX Venture Exchange,Uranium,350223574
TSXV:GAL,Galantas Gold Corporation,TSX Venture Exchange,Gold,30626441
TSXV:CNC,Canada Nickel Company Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,347342629
TSXV:BRC,Blackrock Silver Corp.,TSX Venture Exchange,Other Precious Metals & Mining,337863991
TSXV:RDS,Radisson Mining Resources Inc.,TSX Venture Exchange,Gold,353593040
TSXV:GSVR,Guanajuato Silver Company Ltd.,TSX Venture Exchange,Silver,338421839
TSXV:TUD,Tudor Gold Corp.,TSX Venture Exchange,Gold,235509618
TSXV:ALV,Alvopetro Energy Ltd.,TSX Venture Exchange,Oil & Gas Exploration & Production,319209723
TSXV:TNGD,Tiernan Gold Corp.,TSX Venture Exchange,Gold,337441600
TSXV:ANDC,Andina Copper Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,317098336
TSXV:EOG,Eco (Atlantic) Oil & Gas Ltd.,TSX Venture Exchange,Oil & Gas Exploration & Production,309492489
TSXV:ECU,Element 29 Resources Inc.,TSX Venture Exchange,Copper,251704192
TSXV:NEXG,NeXGold Mining Corp.,TSX Venture Exchange,Gold,206254180
TSXV:MKA,Mkango Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,298454787
TSXV:SM,Sierra Madre Gold and Silver Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,234528670
TSXV:GMG,Graphene Manufacturing Group Ltd,TSX Venture Exchange,Specialty Chemicals,295397207
TSXV:TECT,Tectonic Metals Inc.,TSX Venture Exchange,Gold,147058440
TSXV:CBR,Cabral Gold Inc.,TSX Venture Exchange,Gold,290144835
TSXV:MOG,Mogotes Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,256397664
TSXV:PLSR,Pulsar Helium Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,282860127
TSXV:LUCA,Luca Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,280731186
TSXV:HITI,High Tide Inc.,TSX Venture Exchange,Pharmaceutical Retailers,280304522
TSXV:MMY,Monument Mining Limited,TSX Venture Exchange,Gold,276974400
TSXV:PNPN,Power Metallic Mines Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,246423840
TSXV:MACK,Mackay Gold & Silver Corp.,TSX Venture Exchange,Gold,257048880
TSXV:GQC,Goldquest Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,267960951
TSXV:KCP,King Copper Discovery Corp.,TSX Venture Exchange,Other Precious Metals & Mining,262218099
TSXV:CVW,CVW Sustainable Royalties Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,128002088
TSXV:WRLG,West Red Lake Gold Mines Ltd.,TSX Venture Exchange,Gold,256034978
TSXV:CKG,Chesapeake Gold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,256029078
TSXV:PGDC,Patagonia Gold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,253665802
TSXV:HHH,Helius Minerals Limited,TSX Venture Exchange,Other Industrial Metals & Mining,256332144
TSXV:WILD,WildBrain Ltd.,TSX Venture Exchange,Motion Picture and Video Tape Production,
TSXV:CMCG,Power Metallic Mines Inc.,TSX Venture Exchange,Metal Mining,
