Ticker,Company
MRSELL.ST,mResell Group AB
GGEO.ST,Guideline Geo AB (publ)
SOLIDX.ST,SolidX AB (publ)
COEGIN.ST,Coegin Pharma AB
YIELD.ST,SaveLend Group AB (publ)
FASTAT.ST,Aktiebolaget Fastator (publ)
ANNX.ST,Annexin Pharmaceuticals AB (publ)
BRAVE.ST,Kinda Brave Entertainment Group Ab (Publ)
SPGR.ST,Spotlight Group AB (publ)
BIOVIC-B.ST,Biovica International AB (publ)
PMED.ST,PEPTONIC medical AB (publ)
SAXG.ST,Saxlund Group AB (publ)
RMDX.ST,Railway Metrics and Dynamics Sweden AB (publ)
CHECK.ST,Checkin.Com Group AB (publ)
AMIDO.ST,Amido AB (publ)
RAMSH.ST,Ramlösa shipping AB (publ)
NEOLA.ST,Neola Medical AB (publ)
BAWAT.ST,Bawat Water Technologies AB
OBDU-B.ST,Obducat AB (publ)
CMOTEC-B.ST,Scandinavian ChemoTech AB (publ)
NNH.ST,New Nordic Healthbrands AB (publ)
USWE.ST,Uswe Sports AB (publ)
VIMAB.ST,Vimab Group AB (publ)
LOHILO.ST,Lohilo Foods AB (publ)
SPAGO.ST,Spago Nanomedical AB (publ)
GPX.ST,Gasporox AB (publ)
BIBB.ST,BiBBInstruments AB
HEXI.ST,Hexicon AB (publ)
KENH.ST,Kentima Holding AB (publ)
REFINE.ST,Refine Group AB (publ)
MEGR.ST,Mediacle Group AB (publ)
PILA.ST,Pila Pharma AB (publ)
WRV.ST,Webrock Ventures AB
FIRST-B.ST,First Venture Sweden AB (publ)
ALZ.ST,Alzinova AB (publ)
PIXEL.ST,PixelFox AB
ODI.ST,ODI Pharma AB (publ)
CHARGE.ST,ChargePanel AB (publ)
ABI.ST,AB Igrene (publ)
REALFI.ST,Realfiction Holding AB (publ)
TRIBO-B.ST,Tribox Group AB (publ)
MAHVIE.ST,Mahvie Minerals AB (publ)
GMERC-B.ST,GreenMerc AB (publ)
FLOWS.ST,Flowscape Technology AB (publ)
SPEONE.ST,SpectrumOne AB (publ)
IS.ST,Image Systems AB
AERW-B.ST,Aerowash AB (publ)
QBNK.ST,QBNK Holding AB (publ)
QLIFE.ST,Qlife Holding AB (publ)
ORGC.ST,OrganoClick AB (publ)
BOMILL.ST,BoMill AB (publ)
SFL.ST,Safello Group AB (publ)
KAV.ST,Katalysen Ventures AB (publ)
ABAS.ST,ABAS Protect AB
LCLEAN.ST,LifeClean International AB (publ)
REDS.ST,Redsense Medical AB (publ)
GBK.ST,Goodbye Kansas Group AB (publ)
SDOS.ST,ScandiDos AB (publ)
GOSOL.ST,Gosol Energy Group AB
NGS.ST,NGS Group AB (publ)
XPC.ST,XP Chemistries AB (publ)
KVIX.ST,Kvix AB (publ)
HELIO.ST,Heliospectra AB (publ)
SOUND.ST,Sound Dimension AB (publ)
BEYOND.ST,Beyond Frames Entertainment AB (publ)
BRILL.ST,Brilliant Future AB (publ)
NFGAB.ST,Nordic Flanges Group AB (publ)
MODTX.ST,Modus Therapeutics Holding AB (publ)
BUY.ST,Sweden Buyersclub AB
JLT.ST,JLT Mobile Computers AB (publ)
KONT.ST,Kontigo Care AB (publ)
XMR.ST,XMReality AB (publ)
ADVT.ST,Adverty AB (publ)
SPEC.ST,SpectraCure AB (publ)
HUNTER.ST,Hunter Capital AB (publ)
CI.ST,Cell Impact AB (publ)
FLUI.ST,Fluicell AB (publ)
2CUREX.ST,2cureX AB (publ)
FRAG.ST,Fragbite Group AB (publ)
TOURN.ST,Tourn International AB (publ)
COMPDM.ST,Compodium International AB (publ)
LARK.ST,Lärkberget AB (publ)
CARDEO.ST,Cardeon AB (publ)
SONE.ST,Sonetel AB (publ)
TOUCH.ST,Touchtech AB
NEWBRY.ST,Newbury Pharmaceuticals AB (publ)
DLAB.ST,Dlaboratory Sweden AB (publ)
MBBAB.ST,MoveByBike Europe AB (publ)
NXAR.ST,Nexar Group AB (publ)
THINC.ST,Thinc Collective AB (publ)
VALUNO.ST,Valuno Group AB (publ)
ECO-B.ST,EcoRub AB (publ)
JDT.ST,JonDeTech Sensors AB (publ)
ZOOM.ST,Zoomability Int AB (publ)
NICO.ST,Nicoccino Holding AB (publ)
GOMERO.ST,Gomero Group AB (publ)
ZAPLOX.ST,Zaplox AB (publ)
RPLAN.ST,Ranplan Group AB
COMINT.ST,Comintelli AB (publ)
KAKEL.ST,Kakel Max AB (publ)
VIDH.ST,Vidhance AB (publ)
TRNSF.ST,Transfer Group AB (publ)
ERMA.ST,Enorama Pharma AB (publ)
SARS.ST,Sarsys AB
LIGR.ST,Lightning Group AB
SBG.ST,StoneBeach Group AB (publ)
AERO.ST,Svenska Aerogel Holding AB (publ)
BRIGHT.ST,BrightBid Group AB (publ)
AINO.ST,Aino Health AB (publ)
CIRCHE.ST,CirChem AB (publ)
GATE.ST,Jumpgate AB
PERP-B.ST,Perpetua Medical AB (publ)
NIUTEC.ST,Niutech Group AB
SPERM.ST,Spermosens AB (publ)
PCOM-B.ST,Precomp Solutions AB (publ)
GUARD.ST,Guard Therapeutics International AB (publ)
PADEL.ST,Acenta Group AB
MONI.ST,Monivent AB
LAIR.ST,LightAir AB (publ)
QIIWI.ST,Qiiwi Games AB (publ)
GABA.ST,Gabather AB (publ)
NANOC-B.ST,NanoCap Group AB (publ)
NATTA.ST,Nattaro Labs AB (publ)
DIVIO-B.ST,Divio Technologies AB (publ)
LEVBIO.ST,Level Bio AB (publ)
BIOSGN.ST,Biosergen AB (publ)
PROGEN.ST,Prostatype Genomics AB (publ)
TIRO.ST,Transiro Holding AB (publ)
POLAR.ST,PolarCool AB (publ)
RLVNC.ST,Relevance Communication Nordic AB
CLEMO.ST,Clean Motion AB (publ)
VAXXA.ST,Vaxxa AB
ORTIN.ST,Ortelius International AB
BTCX.ST,Goobit Group AB (publ)
MANTEX.ST,Mantex AB (publ)
OURLIV.ST,OurLiving AB
HOLDFL.ST,Holdflight AB (publ)
LXB.ST,Luxbright AB (publ)
QCORE.ST,Qlucore AB (publ)
C100.ST,C100 AB (publ)
BIOF.ST,Biofrigas Sweden AB (publ)
MTI.ST,MTI Investment AB (publ)
HEGR.ST,Hedera Group AB (publ)
HYCO.ST,Hybricon AB (publ)
MOBA.ST,M.O.B.A. Network AB
RESP.ST,Respiratorius AB (publ)
NANECH.ST,NanoEcho AB (publ)
NILS.ST,Nilsson Special Vehicles AB (publ)
EXALT.ST,Exalt AB (publ)
QBRICK.ST,Qbrick AB (publ)
APTA.ST,Aptahem AB (publ)
FSPORT.ST,FSport AB (publ)
FRAM-B.ST,Fram Skandinavien AB (publ)
DIAH.ST,Diadrom Holding AB (publ)
MNDRK.ST,MindArk PE AB (publ)
EDYOU.ST,edyoutec AB
ATANA.ST,Attana AB (publ)
STABL.ST,Stayble Therapeutics AB (publ)
TRML.ST,Trainimal AB (publ)
QBIM.ST,Qbim Aktiebolag
MAXENT-B.ST,Maximum Entertainment AB
BLICK.ST,Blick Global Group AB (publ)
TESSIN.ST,Tessin Nordic Holding AB (publ)
SYNEXO.ST,Synexo Group AB (publ)
SILEON.ST,Sileon AB (publ)
VH.ST,Västra Hamnen Corporate Finance AB (publ)
SPOTR.ST,Spotr Group AB
ARCTIC.ST,Arctic Blue Beverages AB (publ)
ODIN.ST,Odinwell AB (publ)
INSP.ST,Insplorion AB (publ)
GTG.ST,Gold Town Games AB (publ)
LUMITO.ST,Lumito AB (publ)
POLYMER.ST,Polymer Factory Sweden AB
ABIG.ST,Abelco Investment Group AB
UPGRAD.ST,Upgrade Invest Nordic AB (publ)
WEG.ST,Windon Energy Group AB
AVSALT.ST,Avsalt Group AB
THRILL.ST,Game Chest Group AB (publ)
TPGR.ST,Time People Group AB (publ)
ECOMB.ST,Ecomb AB (publ)
SENS.ST,Sustainable Energy Solutions Sweden Holding AB (publ)
F2M.ST,Free2move Holding AB (publ)
STHLM.ST,Stockholm Treasury AB (publ)
EXPRS2.ST,ExpreS2ion Biotech Holding AB (publ)
S2M.ST,S2Medical AB (publ)
ECC-B.ST,Ecoclime Group AB (publ)
RENT.ST,Rentunder Holding AB (publ)
CAPS.ST,Northern CapSek Ventures AB (publ)
MYBEAT.ST,My Beat AB
HMPLY.ST,Hemply Balance Holding AB (Publ)
EATG.ST,EatGood Sweden AB (Publ)
CRET.ST,Creturner Group AB (publ)
36GRP.ST,36 Group AB
PROVIT.ST,Provide IT Sweden AB (publ)
MAV.ST,Mavshack AB (publ)
SOCIAL.ST,Sociallite US AB (publ)
WYLD.ST,Wyld Networks AB (publ)
PIXFAM.ST,Pixfam AB (publ)
WONDR.ST,Wonderboo Holding AB
AFRI.ST,Africa Resources AB (publ)
HOTEL.ST,Hotel Fast SSE AB (publ)
SERV.ST,Servana AB
