Ticker,Company,Market Cap,Stock Price,Industry
VTM.AX,Victory Metals Limited,159200650,1.475,Gold
TSO.AX,Tesoro Gold Ltd,134513079,0.995,Gold
TSOOA.AX,Tesoro Gold Ltd,,0.003,Gold And Silver Ores
WAT.AX,Waterco Limited,191338815,5.46,Pollution & Treatment Controls
GRR.AX,Grange Resources Limited,185174192,0.16,Steel
KPG.AX,Kelly Partners Group Holdings Limited,191965818,4.24,Specialty Business Services
BXN.AX,Bioxyne Limited,188458970,0.083,Packaged Foods
MYX.AX,Mayne Pharma Group Limited,187677860,2.31,Medical Distribution
AVH.AX,"AVITA Medical, Inc.",146573110,1.18,Medical Devices
PWR.AX,Peter Warren Automotive Holdings Limited,186036553,1.08,Auto & Truck Dealerships
BKY.AX,Berkeley Energia Limited,185211595,0.415,Uranium
LOT.AX,Lotus Resources Limited,132677325,0.675,Other Industrial Metals & Mining
IVR.AX,Investigator Silver Limited,93558784,0.064,Other Precious Metals & Mining
AD8.AX,Audinate Group Limited,180463114,2.14,Electronic Components
ELT.AX,Elementos Limited,141146065,0.415,Other Industrial Metals & Mining
G50.AX,G50 Corp Limited,131971063,0.85,Other Precious Metals & Mining
NZM.AX,NZME Limited,175008906,0.93,Entertainment
AGE.AX,Alligator Energy Limited,177481366,0.04,Uranium
BBT.AX,Betr Entertainment Limited,176973400,0.17,Gambling
PEN.AX,Peninsula Energy Limited,62341708,0.39,Uranium
FXG.AX,Felix Gold Limited,173316521,0.35,Gold
EZL.AX,Euroz Hartleys Group Limited,173454975,1.115,Asset Management
JYC.AX,Joyce Corporation Ltd,172093146,5.82,Specialty Retail
CNB.AX,Carnaby Resources Limited,134862080,0.59,Other Precious Metals & Mining
PRG.AX,PRL Global Ltd.,171109042,1.545,Integrated Freight & Logistics
CVV.AX,Caravel Minerals Limited,170422580,0.305,Copper
SSG.AX,Shaver Shop Group Limited,170316242,1.3,Specialty Retail
GPR.AX,Geopacific Resources Limited,169907152,0.053,Gold
CEH.AX,Coast Entertainment Holdings Limited,169024415,0.435,Leisure
ATA.AX,Atturra Limited,168098129,0.455,Information Technology Services
RDY.AX,ReadyTech Holdings Limited,166811544,1.35,Software - Application
VFY.AX,Vitrafy Life Sciences Limited,,2.6,Laboratory Apparatus and Furniture
EWC.AX,Energy World Corporation Ltd,133461250,0.043,Utilities - Independent Power Producers
MTO.AX,MotorCycle Holdings Limited,165453116,2.24,Auto & Truck Dealerships
ENR.AX,Encounter Resources Limited,159418170,0.285,Other Industrial Metals & Mining
FDV.AX,Frontier Digital Ventures Limited,163400538,0.375,Internet Content & Information
EMV.AX,EMVision Medical Devices Ltd,162177864,1.745,Medical Devices
COI.AX,Comet Ridge Limited,161519227,0.135,Oil & Gas Exploration & Production
ZEO.AX,Zeotech Limited,160470960,0.078,Other Industrial Metals & Mining
FHE.AX,Frontier Energy Limited,158926651,0.282,Utilities - Renewable
RNU.AX,Renascor Resources Limited,157866733,0.062,Other Industrial Metals & Mining
DLI.AX,Delta Lithium Limited,157819860,0.22,Gold
KAU.AX,Kaiser Reef Limited,145277280,0.24,Gold
HGO.AX,Hillgrove Resources Limited,122386286,0.046,Copper
SGI.AX,Stealth Group Holdings Ltd,133100919,1.05,Industrial Distribution
CLV.AX,Clover Corporation Limited,156979381,0.94,Packaged Foods
AEU.AX,Atomic Eagle Limited,156695800,0.4,Uranium
ACW.AX,Actinogen Medical Limited,147136967,0.041,Biotechnology
PLT.AX,Plenti Group Limited,153969925,0.845,Credit Services
CY5.AX,Cygnus Metals Limited,146509200,0.12,Other Industrial Metals & Mining
EML.AX,EML Payments Limited,151523935,0.39,Software - Infrastructure
CLX.AX,CTI Logistics Limited,151280664,1.87,Integrated Freight & Logistics
GML.AX,Gateway Mining Limited,25315824,0.064,Gold
VVA.AX,Viva Leisure Limited,146341358,1.485,Leisure
FWD.AX,Fleetwood Limited,150907191,1.63,Engineering & Construction
SDI.AX,SDI Limited,147987585,1.245,Medical Instruments & Supplies
PEX.AX,Peel Mining Limited,79912580,0.17,Other Industrial Metals & Mining
TLG.AX,Talga Group Ltd,145614137,0.285,Other Industrial Metals & Mining
FSA.AX,FSA Group Limited,145678110,1.165,Credit Services
EGR.AX,EcoGraf Limited,143080810,0.31,Other Industrial Metals & Mining
APW.AX,Aims Property Securities Fund,142460800,3.2,REIT - Diversified
SEC.AX,Spheria Emerging Companies Limited,141454900,2.36,Asset Management
BTI.AX,Bailador Technology Investments Limited,141368876,0.935,Asset Management
ETM.AX,Energy Transition Minerals Ltd,140678436,0.064,Other Industrial Metals & Mining
VAL.AX,Valiant Gold Limited,140400026,0.26,Gold
ARL.AX,Ardea Resources Limited,139518390,0.635,Other Industrial Metals & Mining
RND.AX,Rand Mining Limited,139346104,2.45,Gold
RCE.AX,Recce Pharmaceuticals Ltd,138808043,0.48,Biotechnology
DEV.AX,DevEx Resources Limited,88897490,0.195,Other Industrial Metals & Mining
BBL.AX,Brisbane Broncos Limited,135786274,1.385,Entertainment
NYR.AX,Nyrada Inc.,111847586,0.56,Biotechnology
QGL.AX,Quantum Graphite Limited,134974840,0.385,Other Industrial Metals & Mining
MEU.AX,Marmota Limited,135598775,0.105,Other Industrial Metals & Mining
RML.AX,Resolution Minerals Ltd,70274460,0.06,Other Industrial Metals & Mining
RMLOC.AX,Resolution Minerals Ltd,,0.045,Metal Mining
OFX.AX,OFX Group Limited,133253184,0.575,Capital Markets
ALC.AX,Alcidion Group Limited,132952317,0.099,Health Information Services
GL1.AX,Global Lithium Resources Limited,132795872,0.505,Other Industrial Metals & Mining
MPK.AX,Many Peaks Minerals Limited,132496186,0.965,Other Precious Metals & Mining
DXB.AX,Dimerix Limited,132087291,0.22,Biotechnology
VLS.AX,Vita Life Sciences Limited,129056836,2.42,Drug Manufacturers - Specialty & Generic
WR1.AX,Winsome Resources Limited,131298871,0.535,Other Industrial Metals & Mining
TER.AX,TerraCom Limited,55877500,0.07,Thermal Coal
GBR.AX,Great Boulder Resources Limited,115418199,0.105,Other Industrial Metals & Mining
EDE.AX,Eden Innovations Ltd,83082049,0.225,Specialty Industrial Machinery
BRI.AX,Big River Industries Limited,129041171,1.37,Lumber & Wood Production
SEA.AX,Sea Forest Limited,129498064,2.34,Packaged Foods
FAL.AX,Falcon Metals Limited,106726732,0.6,Gold
AEE.AX,Aura Energy Limited,132527200,0.13,Uranium
GEM.AX,G8 Education Limited,127307235,0.165,Education & Training Services
MHJ.AX,Michael Hill International Limited,126998059,0.33,Luxury Goods
SNC.AX,Sandon Capital Investments Limited,120505320,0.78,Asset Management
BWN.AX,Bhagwan Marine Limited,90917959,0.33,Marine Shipping
SOM.AX,SomnoMed Limited,124877310,0.57,Medical Devices
AKM.AX,Aspire Mining Limited,124371061,0.245,Coking Coal
GOW.AX,Gowing Bros. Limited,122976494,2.27,Asset Management
MLG.AX,MLG Oz Limited,122398795,0.79,Other Industrial Metals & Mining
SRZ.AX,Stellar Resources Limited,73734780,0.036,Other Industrial Metals & Mining
EL8.AX,Elevate Uranium Ltd,96347160,0.26,Uranium
ENN.AX,Elanor Investors Group,108175615,0.82,Asset Management
LDX.AX,Lumos Diagnostics Holdings Limited,95421875,0.125,Medical Devices
AHC.AX,Austco Healthcare Limited,125541585,0.335,Medical Instruments & Supplies
SHJ.AX,Shine Justice Ltd,120267181,0.71,Personal Services
NOL.AX,NobleOak Life Limited,117108835,1.26,Insurance - Life
JGH.AX,Jade Gas Holdings Limited,116561240,0.061,Oil & Gas Exploration & Production
SND.AX,Saunders International Limited,117257287,0.84,Engineering & Construction
CXU.AX,Cauldron Energy Limited,112033737,0.055,Other Industrial Metals & Mining
YOJ.AX,Yojee Limited,115522391,0.325,Software - Application
ANG.AX,Austin Engineering Limited,115275512,0.185,Farm & Heavy Construction Machinery
EMP.AX,Emperor Energy Limited,97576113,0.12,Oil & Gas Exploration & Production
DRE.AX,Dreadnought Resources Limited,114504000,0.02,Other Industrial Metals & Mining
5EA.AX,"5E Advanced Materials, Inc.",62306490,0.265,Specialty Chemicals
ASN.AX,Anson Resources Limited,113366634,0.07,Other Industrial Metals & Mining
GBM.AX,GBM Resources Limited,112893193,0.023,Gold
TKM.AX,Trek Metals Limited,86084272,0.165,Other Industrial Metals & Mining
BVR.AX,Bellavista Resources Limited,52936138,0.525,Other Industrial Metals & Mining
CCR.AX,Credit Clear Limited,112501400,0.22,Information Technology Services
VNL.AX,Vinyl Group Ltd,111842640,0.078,Software - Application
PLY.AX,PlaySide Studios Limited,115727826,0.255,Electronic Gaming & Multimedia
AGY.AX,Argosy Minerals Limited,111126307,0.072,Other Industrial Metals & Mining
TWD.AX,Tamawood Limited,110274129,2.78,Residential Construction
CXL.AX,Calix Limited,113286952,0.525,Specialty Chemicals
OIL.AX,Optiscan Imaging Limited,109638546,0.105,Scientific & Technical Instruments
ATH.AX,Alterity Therapeutics Limited,108754000,0.01,Biotechnology
EDU.AX,EDU Holdings Limited,129405433,0.87,Education & Training Services
PCL.AX,Pancontinental Energy NL,107719040,0.013,Oil & Gas Exploration & Production
KLV.AX,Klevo Rewards Limited,101373688,0.07,Software - Application
AT4.AX,American Tungsten and Antimony Ltd,107509418,0.08,Other Industrial Metals & Mining
AT4OD.AX,American Tungsten and Antimony Ltd,,0.045,"Mining and Quarrying Of Nonmetallic Minerals, except Fuels"
WOT.AX,WOTSO,108375743,0.67,Residential & Commercial REITs
HASO.AX,Hastings Technology Metals Limited,,0.001,Miscellaneous Metal Ores
BKB.AX,Black Bear Minerals Limited,118899328,0.7,Other Industrial Metals & Mining
MSV.AX,Mitchell Services Limited,105981204,0.5,Other Industrial Metals & Mining
AHL.AX,Adrad Holdings Limited,105717763,1.3,Specialty Industrial Machinery
DGL.AX,DGL Group Limited,105533347,0.37,Specialty Chemicals
BB1.AX,BlinkLab Limited,105482376,0.68,Health Information Services
URF.AX,US Masters Residential Property Fund,103267693,0.15,REIT - Residential
GLB.AX,Globe International Limited,101586354,2.45,Apparel Manufacturing
OCN.AX,Oceana Metals Limited,101585258,0.515,Other Industrial Metals & Mining
CYC.AX,Cyclopharm Limited,101482960,0.805,Medical Distribution
HAS.AX,Hastings Technology Metals Limited,101332508,0.445,Other Industrial Metals & Mining
ARN.AX,Aldoro Resources Limited,100249425,0.425,Other Industrial Metals & Mining
ART.AX,Airtasker Limited,104807738,0.215,Internet Content & Information
LRM.AX,Lion Rock Minerals Ltd,96225760,0.026,Other Precious Metals & Mining
CMA.AX,Carma Limited,98940424,0.72,Auto & Truck Dealerships
ILA.AX,Island Pharmaceuticals Limited,87523148,0.35,Biotechnology
HPG.AX,hipages Group Holdings Limited,99255339,0.725,Software - Application
AL3.AX,AML3D Limited,97392501,0.175,Metal Fabrication
FLC.AX,Fluence Corporation Limited,97263739,0.086,Pollution & Treatment Controls
AGD.AX,Austral Gold Limited,96875033,0.145,Other Precious Metals & Mining
NZK.AX,New Zealand King Salmon Investments Limited,96872809,0.18,Farm Products
E25.AX,Element 25 Limited,69316113,0.295,Other Industrial Metals & Mining
HZR.AX,Hazer Group Limited,95743863,0.357,Chemicals
PNC.AX,Pioneer Credit Limited,96432806,0.6,Credit Services
IOD.AX,IODM Limited,95198850,0.15,Software - Application
EPI.AX,Epiminder Limited,94252,0.43,Medical Devices
AQZ.AX,Alliance Aviation Services Limited,95025900,0.59,Airports & Air Services
QPM.AX,QPM Energy Limited,68571691,0.024,Oil & Gas Exploration & Production
COV.AX,Cleo Diagnostics Ltd,93066216,0.69,Medical Devices
KMD.AX,KMD Brands Limited,37011778,0.052,Apparel Manufacturing
SBZ.AX,Schoolblazer Limited,93857752,0.18,Asset Management
IVZ.AX,Invictus Energy Limited,78197600,0.052,Oil & Gas Exploration & Production
ARA.AX,Ariadne Australia Limited,93000971,0.48,Asset Management
TOT.AX,360 Capital REIT,91821240,0.42,REIT - Diversified
CHW.AX,Chilwa Minerals Limited,91072392,0.93,Other Industrial Metals & Mining
GBE.AX,Globe Metals & Mining Limited,67381341,0.097,Other Industrial Metals & Mining
ALA.AX,Arovella Therapeutics Limited,90658500,0.075,Biotechnology
SHN.AX,Sunshine Metals Limited,53808048,0.028,Other Industrial Metals & Mining
ADV.AX,Ardiden Limited,26677350,0.42,Gold
PAR.AX,Paradigm Biopharmaceuticals Limited,73675855,0.17,Biotechnology
LRK.AX,LARK Distilling Co. Ltd.,88594275,0.825,Beverages - Wineries & Distilleries
CUF.AX,CuFe Ltd,73232866,0.051,Other Industrial Metals & Mining
BUB.AX,Bubs Australia Limited,88518870,0.099,Packaged Foods
BSX.AX,Blackstone Minerals Limited,87771282,0.051,Other Industrial Metals & Mining
RTG.AX,RTG Mining Inc.,86026950,0.045,Other Industrial Metals & Mining
MCE.AX,Matrix Composites & Engineering Ltd,87627538,0.39,Engineering & Construction
CUE.AX,Cue Energy Resources Limited,87642192,0.125,Oil & Gas Exploration & Production
VHM.AX,VHM Limited,74662656,0.295,Other Industrial Metals & Mining
FLG.AX,Flagship Minerals Limited,87220979,0.27,Other Industrial Metals & Mining
AAL.AX,Alfabs Australia Limited,86100612,0.3,Conglomerates
AON.AX,Apollo Minerals Limited,63599305,0.068,Other Industrial Metals & Mining
NH3.AX,NH3 Clean Energy Limited,85545600,0.12,Other Industrial Metals & Mining
LNQ.AX,LinQ Minerals Limited,72936673,0.415,Other Industrial Metals & Mining
EQU.AX,Equus Energy Limited,82880712,0.415,Utilities - Regulated Gas
IXR.AX,Ionic Rare Earths Limited,76849860,0.34,Other Industrial Metals & Mining
MXI.AX,MaxiPARTS Limited,84738084,1.525,Auto Parts
ATX.AX,Amplia Therapeutics Limited,76960744,0.15,Biotechnology
PHO.AX,PhosCo Ltd,67161620,0.16,Other Industrial Metals & Mining
LM8.AX,Lunnon Metals Limited,81518712,0.365,Other Industrial Metals & Mining
LIS.AX,Li-S Energy Limited,84826530,0.132,Electrical Equipment & Parts
AVL.AX,Australian Vanadium Limited,77004108,0.205,Other Industrial Metals & Mining
MAT.AX,Matsa Resources Limited,66476930,0.085,Gold
IMM.AX,Immutep Limited,88423200,0.06,Biotechnology
IFN.AX,Infragreen Group Limited,83558672,0.375,Waste Management
RCT.AX,Reef Casino Trust,164841310,3.31,Resorts & Casinos
AXE.AX,Archer Materials Limited,81551044,0.32,Semiconductors
OR3.AX,Ore Resources Limited,81534197,0.099,Other Industrial Metals & Mining
EVO.AX,Embark Early Education Limited,82482820,0.405,Education & Training Services
EMH.AX,European Metals Holdings Limited,65345175,0.315,Other Industrial Metals & Mining
ECH.AX,Echelon Resources Limited,80622302,0.36,Oil & Gas Exploration & Production
CRS.AX,Caprice Resources Limited,78137292,0.115,Other Industrial Metals & Mining
PTN.AX,Patronus Resources Limited,79880678,0.054,Gold
DRX.AX,Diatreme Resources Limited,80132509,0.016,Other Industrial Metals & Mining
VEE.AX,VEEM Ltd,79978408,0.545,Aerospace & Defense
SEG.AX,Sports Entertainment Group Limited,80049309,0.285,Broadcasting
KKO.AX,Kinetiko Energy Limited,79880702,0.052,Oil & Gas Exploration & Production
AV1.AX,Adveritas Limited,79692643,0.086,Software - Infrastructure
ESR.AX,Estrella Resources Limited,79579331,0.036,Other Industrial Metals & Mining
MMA.AX,Maronan Metals Limited,63702660,0.315,Other Precious Metals & Mining
A1N.AX,ARN Media Limited,79827845,0.255,Broadcasting
YRL.AX,Yandal Resources Limited,65087363,0.205,Gold
ATG.AX,Articore Group Limited,82611087,0.27,Internet Retail
NDO.AX,Nido Education Limited,78290465,0.345,Education & Training Services
CYP.AX,Cynata Therapeutics Limited,77905280,0.315,Biotechnology
STM.AX,Sunstone Metals Limited,78272396,0.345,Other Industrial Metals & Mining
RTR.AX,Rumble Resources Limited,52884608,0.056,Other Industrial Metals & Mining
PVE.AX,Po Valley Energy Limited,70696659,0.061,Oil & Gas Exploration & Production
BOT.AX,Botanix Pharmaceuticals Limited,55789791,0.028,Biotechnology
EGL.AX,The Environmental Group Limited,76099559,0.2,Pollution & Treatment Controls
KSN.AX,Kingston Resources Limited,74931681,0.089,Gold
AEG.AX,Aland Equity Group Limited,65835110,0.097,Capital Markets
BCM.AX,Brazilian Critical Minerals Limited,72517657,0.037,Gold
RAD.AX,Radiopharm Theranostics Limited,49663940,0.021,Biotechnology
CTT.AX,Cettire Limited,74341453,0.195,Luxury Goods
LSA.AX,Lachlan Star Limited,56182014,0.21,Other Industrial Metals & Mining
LTP.AX,LTR Pharma Limited,73619920,0.42,Biotechnology
B4P.AX,Beforepay Group Limited,73201415,1.47,Software - Infrastructure
TAM.AX,Tanami Gold NL,78460326,0.062,Gold
PHX.AX,PharmX Technologies Limited,72540270,0.11,Health Information Services
AQD.AX,AusQuest Limited,71624771,0.044,Other Industrial Metals & Mining
TNC.AX,True North Copper Limited,67048427,0.44,Copper
ARD.AX,Argent Minerals Limited,57484014,0.042,Other Precious Metals & Mining
KYP.AX,Kinatico Ltd,72202680,0.165,Information Technology Services
SHG.AX,Singular Health Group Ltd,71172375,0.225,Health Information Services
SNM.AX,Sentinel Metals Limited,70818792,0.68,Gold
RNT.AX,Rent.com.au Limited,70765993,0.061,Internet Content & Information
RNTO.AX,Rent.com.au Limited,,0.006,"Computer Programming, Data Processing, And Other Computer Related Services"
PCG.AX,Pengana Capital Group Limited,74346228,0.79,Asset Management
ITS.AX,Infotrust Ltd,68668360,0.355,Information Technology Services
ENX.AX,Enegex Limited,17999929,0.23,Other Industrial Metals & Mining
CAF.AX,Centrepoint Alliance Limited,69086490,0.33,Asset Management
SSL.AX,Sietel Limited,68864319,8.6,Real Estate Services
EXP.AX,Experience Co Limited,68674732,0.091,Leisure
SKK.AX,Stakk Limited,56726231,0.023,Software - Application
TOE.AX,Toro Energy Limited,68560653,0.57,Other Industrial Metals & Mining
PTX.AX,Prescient Therapeutics Limited,68348445,0.065,Biotechnology
M7T.AX,Mach7 Technologies Limited,68152817,0.29,Health Information Services
NVU.AX,Nanoveu Limited,68068425,0.063,Software - Application
NNL.AX,Nordic Resources Limited,67688634,0.18,Other Industrial Metals & Mining
BOL.AX,Boom Logistics Limited,68345100,1.8,Specialty Business Services
FND.AX,Findi Limited,41607339,0.675,Software - Infrastructure
NGY.AX,NuEnergy Gas Limited,67164962,0.035,Oil & Gas Exploration & Production
EVZ.AX,EVZ Limited,66826650,0.55,Engineering & Construction
CRI.AX,Critica Limited,66677734,0.022,Other Industrial Metals & Mining
MME.AX,MoneyMe Limited,66644581,0.084,Credit Services
CAE.AX,Cannindah Resources Limited,40058774,0.049,Other Precious Metals & Mining
MTC.AX,MetalsTech Limited,65797445,0.245,Gold
OSM.AX,Osmond Resources Limited,64873121,0.47,Other Precious Metals & Mining
DBF.AX,Duxton Farms Limited,27226900,0.6,Farm Products
CP8.AX,Canadian Phosphate Limited,64150697,0.185,Agricultural Inputs
3PL.AX,3P Learning Limited,61403967,0.225,Education & Training Services
BCA.AX,Black Canyon Limited,52618740,0.395,Other Industrial Metals & Mining
LBL.AX,LaserBond Limited,63828343,0.54,Specialty Industrial Machinery
LLM.AX,Loyal Metals Limited,64710719,0.425,Other Industrial Metals & Mining
BIO.AX,Biome Australia Limited,63839448,0.28,Packaged Foods
ENP.AX,Entropy Neurodynamics Limited,63641244,0.039,Biotechnology
SHO.AX,SportsHero Limited,62486667,0.07,Internet Content & Information
FLN.AX,Freelancer Limited,63128083,0.14,Internet Content & Information
MYE.AX,Mastermyne Group Limited,63272883,0.205,Other Industrial Metals & Mining
RZI.AX,Raiz Invest Limited,62707055,0.595,Software - Infrastructure
ROC.AX,RocketBoots Limited,62639639,0.31,Software - Application
VR1.AX,Vection Technologies Limited,41904000,0.027,Software - Application
IBR.AX,Iron Bear Resources Ltd,63056440,0.059,Other Industrial Metals & Mining
MTH.AX,Mithril Silver and Gold Limited,61854460,0.33,Other Industrial Metals & Mining
FFI.AX,FFI Holdings Limited,61138800,4.5,Confectioners
HAR.AX,Haranga Resources Limited,42879700,0.135,Other Precious Metals & Mining
AOF.AX,Australian Unity Office Fund,59999795,0.365,REIT - Office
AWJ.AX,Auric Mining Limited,59869953,0.32,Gold
AAM.AX,AuMEGA Metals Ltd,24362733,0.041,Gold
PFG.AX,Prime Financial Group Limited,58768055,0.22,Asset Management
RMI.AX,Resource Minerals International Ltd,58795581,0.069,Other Industrial Metals & Mining
CZR.AX,CZR Resources Ltd,58662210,0.245,Other Industrial Metals & Mining
GHY.AX,Gold Hydrogen Limited,58647643,0.325,Oil & Gas Exploration & Production
LCY.AX,Legacy Iron Ore Limited,58572256,0.006,Other Industrial Metals & Mining
VBX.AX,VBX Limited,58173763,0.7,Aluminum
VBC.AX,Verbrec Limited,58169830,0.19,Engineering & Construction
PPE.AX,Peoplein Limited,60744557,0.555,Staffing & Employment Services
TZN.AX,Terramin Australia Limited,57303926,0.024,Other Industrial Metals & Mining
NMR.AX,Native Mineral Resources Holdings Limited,56034210,0.051,Other Industrial Metals & Mining
D3E.AX,D3 Energy Limited,57418000,0.375,Oil & Gas Exploration & Production
LMG.AX,Latrobe Magnesium Limited,43640622,0.018,Other Industrial Metals & Mining
AUZ.AX,Australian Mines Limited,53338060,0.026,Other Industrial Metals & Mining
CMP.AX,Compumedics Limited,55933291,0.28,Medical Devices
FAR.AX,FAR Limited,55907837,0.605,Oil & Gas Exploration & Production
ODY.AX,Odyssey Gold Limited,41124369,0.039,Gold
KZR.AX,Kalamazoo Resources Limited,35772960,0.16,Gold
CCA.AX,Change Financial Limited,55236242,0.08,Information Technology Services
POD.AX,Podium Minerals Limited,40841752,0.055,Other Industrial Metals & Mining
COD.AX,Coda Minerals Limited,37071883,0.145,Other Industrial Metals & Mining
IRI.AX,Integrated Research Limited,54177541,0.3,Software - Application
PGO.AX,Pacgold Limited,32436619,0.12,Gold
WCE.AX,West Coast Silver Limited,59246424,0.15,Other Precious Metals & Mining
CKA.AX,Cokal Limited,53947449,0.05,Coking Coal
COB.AX,Cobalt Blue Holdings Limited,52284369,0.089,Other Industrial Metals & Mining
MAM.AX,Microequities Asset Management Group Limited,53643557,0.41,Asset Management
TRJ.AX,Trajan Group Holdings Limited,53407566,0.35,Medical Instruments & Supplies
FGR.AX,First Graphene Limited,52841330,0.06,Chemicals
EV8.AX,Everlast Minerals Ltd,52526004,0.4,Oil & Gas Exploration & Production
ECT.AX,Environmental Clean Technologies Limited,29914938,0.125,Pollution & Treatment Controls
RDM.AX,Red Metal Limited,49860802,0.13,Other Industrial Metals & Mining
SB2.AX,Salter Brothers Emerging Companies Limited,73932365,0.58,Asset Management
GT3.AX,Green360 Technologies LImited,51590370,0.039,Conglomerates
NUZ.AX,Neurizon Therapeutics Limited,53731728,0.072,Biotechnology
CYG.AX,Coventry Group Ltd,44069643,0.37,Industrial Distribution
DOC.AX,Doctor Care Anywhere Group PLC,51334114,0.14,Health Information Services
UBN.AX,Urbanise.com Limited,51294809,0.65,Software - Application
OD6.AX,OD6 Metals Limited,28081900,0.175,Other Industrial Metals & Mining
LKY.AX,Locksley Resources Limited,33870780,0.135,Other Precious Metals & Mining
RHY.AX,Rhythm Biosciences Limited,50426027,0.142,Diagnostics & Research
RHYOA.AX,Rhythm Biosciences Limited,,0.06,In Vitro and In Vivo Diagnostic Substances
SIO.AX,Simonds Group Limited,50386903,0.14,Residential Construction
CTP.AX,Central Petroleum Limited,50435188,0.067,Oil & Gas Exploration & Production
AGR.AX,Aguia Resources Limited,50122204,0.025,Other Industrial Metals & Mining
AGRO.AX,Aguia Resources Limited,,0.008,"Mining and Quarrying Of Nonmetallic Minerals, except Fuels"
CC5.AX,Clever Culture Systems Limited,50073824,0.023,Software - Infrastructure
PTR.AX,PTR Minerals Ltd,49383096,0.125,Other Precious Metals & Mining
EPM.AX,Eclipse Metals Limited,49377000,0.015,Other Industrial Metals & Mining
AW1.AX,American West Metals Limited,34123623,0.04,Other Industrial Metals & Mining
AFA.AX,ASF Group Limited,49128647,0.062,Capital Markets
PXX.AX,PolarX Limited,46325327,0.017,Other Industrial Metals & Mining
CTE.AX,Cryosite Limited,48809563,1,Diagnostics & Research
SNT.AX,Syntara Limited,39005200,0.026,Drug Manufacturers - Specialty & Generic
BRK.AX,Brookside Energy Limited,48664275,0.505,Oil & Gas Exploration & Production
HMD.AX,HeraMED Limited,33240911,0.042,Medical Devices
MVP.AX,Medical Developments International Limited,48443079,0.43,Drug Manufacturers - Specialty & Generic
FRM.AX,Farm Pride Foods Limited,48380640,0.21,Farm Products
ORD.AX,Ordell Minerals Limited,48211526,0.75,Gold
WWG.AX,Wiseway Group Limited,48206918,0.28,Integrated Freight & Logistics
REC.AX,Recharge Metals Limited,7794640,0.028,Other Industrial Metals & Mining
CTO.AX,Citigold Corporation Limited,48000000,0.016,Gold
SHM.AX,Shriro Holdings Limited,59993893,0.75,Specialty Retail
VMT.AX,Vmoto Limited,47877424,0.12,Recreational Vehicles
ABV.AX,Advanced Braking Technology Limited,47756520,0.12,Auto Parts
AVE.AX,Avecho Biotechnology Limited,38571130,0.013,Biotechnology
SIX.AX,Sprintex Limited,47747055,0.068,Auto Parts
SFM.AX,Santa Fe Minerals Limited,21090845,0.29,Gold
DVL.AX,dorsaVi Ltd,47191110,0.039,Scientific & Technical Instruments
AKN.AX,AuKing Mining Limited,22472280,0.024,Other Industrial Metals & Mining
AGC.AX,Australian Gold and Copper Limited,45725163,0.17,Gold
ANO.AX,Advance ZincTek Limited,46984580,0.75,Chemicals
CAV.AX,Carnavale Resources Limited,37929760,0.115,Other Industrial Metals & Mining
MAP.AX,Microba Life Sciences Limited,39574965,0.077,Diagnostics & Research
DSK.AX,Dusk Group Limited,46700899,0.75,Specialty Retail
RCM.AX,Rapid Critical Metals Limited,46645049,0.039,Other Industrial Metals & Mining
RKN.AX,Reckon Limited,46450881,0.41,Software - Application
WTL.AX,WT Financial Group Limited,44484153,0.13,Asset Management
DCC.AX,DigitalX Limited,46143836,0.031,Software - Infrastructure
XRG.AX,xReality Group Limited,45880035,0.061,Leisure
VMC.AX,Venus Metals Corporation Limited,45445700,0.23,Other Industrial Metals & Mining
RFG.AX,Retail Food Group Limited,45194721,0.715,Restaurants
AIM.AX,Ai-Media Technologies Limited,45048520,0.215,Entertainment
IIQ.AX,INOVIQ Ltd,37375271,0.32,Diagnostics & Research
NXN.AX,Nexsen Limited,,0.225,Commercial Physical and Biological Research
WCN.AX,White Cliff Minerals Limited,43744406,0.017,Gold
WAG.AX,The Australian Wealth Advisors Group Limited,44639000,0.6,Asset Management
AVM.AX,Advance Metals Limited,24824455,0.093,Coking Coal
NGE.AX,NGE Capital Limited,44917573,1.31,Asset Management
G11.AX,G11 Resources Limited,44219618,0.305,Other Industrial Metals & Mining
PNN.AX,Power Minerals Limited,21798161,0.125,Other Industrial Metals & Mining
KPO.AX,Kalina Power Limited,43995300,0.015,Utilities - Diversified
ANX.AX,Anax Metals Limited,36370290,0.033,Other Industrial Metals & Mining
ATP.AX,Atlas Pearls Limited,46099471,0.105,Luxury Goods
AQN.AX,Aquirian Limited,43450980,0.41,Rental & Leasing Services
IMA.AX,Image Resources NL,43179477,0.039,Other Industrial Metals & Mining
GTN.AX,GTN Limited,42899804,0.225,Advertising Agencies
WAU.AX,WA Gold Limited,42877524,0.034,Other Industrial Metals & Mining
FGH.AX,Foresta Group Holding Limited,37155022,0.013,Specialty Chemicals
KAT.AX,Katana Capital Limited,42745860,1.35,Asset Management
WGR.AX,Western Gold Resources Limited,42637076,0.145,Gold
MDX.AX,Mindax Limited,42537928,0.018,Gold
VRX.AX,VRX Silica Limited,42067346,0.054,Other Industrial Metals & Mining
JLL.AX,Jindalee Lithium Limited,42163744,0.41,Other Industrial Metals & Mining
ZNC.AX,Zenith Minerals Limited,42000700,0.07,Other Industrial Metals & Mining
TPC.AX,TPC Consolidated Limited,41968571,3.7,Utilities - Diversified
