Ticker,Company,Market Cap,Stock Price,Industry
KLS.AX,Kelsian Group Limited,1105642736,4.07,Railroads
IRE.AX,Iress Limited,1085562560,5.84,Software - Application
CU6.AX,Clarity Pharmaceuticals Ltd,1079548200,2.9,Biotechnology
BCI.AX,BCI Minerals Limited,1086904529,0.37,Steel
BMC.AX,BMC Minerals Limited,1057363264,3.68,Other Industrial Metals & Mining
PL8.AX,Plato Income Maximiser Limited,1036861173,1.385,Asset Management
NAN.AX,Nanosonics Limited,1036903419,3.47,Medical Instruments & Supplies
RIC.AX,Ridley Corporation Limited,1015851831,2.71,Packaged Foods
OCL.AX,Objective Corporation Limited,1004994360,10.47,Software - Application
BVS.AX,Bravura Solutions Limited,995225945,2.22,Software - Application
LFG.AX,Liberty Financial Group Limited,986700000,3.25,Credit Services
HSN.AX,Hansen Technologies Limited,977610216,4.8,Software - Application
WGN.AX,Wagners Holding Company Limited,918729609,4.6,Building Materials
A4N.AX,Alpha HPA Limited,994549028,0.685,Aluminum
SKS.AX,SKS Technologies Group Limited,957162715,8.3,Electrical Equipment & Parts
AVR.AX,Anteris Technologies Global Corp.,366045187,9.95,Medical Devices
PWH.AX,PWR Holdings Limited,967523054,9.62,Auto Parts
CKF.AX,Collins Foods Limited,949812861,8.04,Restaurants
CXO.AX,Core Lithium Ltd,786825000,0.325,Other Industrial Metals & Mining
CQE.AX,Charter Hall Social Infrastructure REIT,946327330,2.55,REIT - Specialty
LFS.AX,Latitude Group Holdings Limited,946156940,0.91,Credit Services
RPL.AX,Regal Partners Limited,930384730,2.53,Asset Management
ABG.AX,Abacus Group,924936030,1.035,REIT - Diversified
NUF.AX,Nufarm Limited,918127886,2.39,Agricultural Inputs
WEB.AX,Web Travel Group Limited,883055818,2.44,Travel Services
CCL.AX,Cuscal Limited,873523874,4.56,Software - Infrastructure
IPH.AX,IPH Limited,911824067,3.52,Specialty Business Services
BGP.AX,Briscoe Group Limited,810955644,3.64,Department Stores
CAT.AX,Catapult Sports Ltd,902879457,2.94,Scientific & Technical Instruments
CIN.AX,Carlton Investments Ltd.,870061500,33,Asset Management
GNG.AX,GR Engineering Services Limited,844628480,4.96,Other Industrial Metals & Mining
BC8.AX,Black Cat Syndicate Limited,812668502,1.115,Gold
SGLLV.AX,Ricegrowers Limited,842964140,12.37,Farm Products
BNDS.AX,Betashares Legg Mason Australian Bond Fund,843080686,23,Asset Management - Bonds
CVL.AX,Civmec Limited,834987195,1.645,Engineering & Construction
QAL.AX,Qualitas Limited,834569232,2.82,Asset Management
AOV.AX,Amotiv Limited,833885263,6.23,Auto Parts
SDR.AX,SiteMinder Limited,814769417,2.89,Software - Application
WC8.AX,Wildcat Resources Limited,827654100,0.61,Gold
HGH.AX,Heartland Group Holdings Limited,803425950,0.85,Banks - Regional
PNV.AX,PolyNovo Limited,825557374,1.195,Medical Devices
VSL.AX,Vulcan Steel Limited,823498319,5.62,Steel
SBM.AX,St Barbara Limited,810563227,0.67,Gold
AYA.AX,Artrya Limited,574690000,5.05,Health Information Services
BMN.AX,Bannerman Energy Ltd,801845520,3.86,Uranium
AAC.AX,Australian Agricultural Company Limited,792638272,1.315,Farm Products
IDX.AX,Integral Diagnostics Limited,787170393,2.11,Diagnostics & Research
CCP.AX,Credit Corp Group Limited,784811357,11.53,Credit Services
RFF.AX,Rural Funds Group,791137688,2.03,REIT - Specialty
DTR.AX,Dateline Resources Limited,775910845,0.205,Gold
PPC.AX,Peet Limited,779484662,1.665,Real Estate - Development
FRS.AX,Forrestania Resources Limited,278416765,0.605,Other Precious Metals & Mining
FRSOA.AX,Forrestania Resources Limited,,0.35,Metal Mining
EIQ.AX,Echo IQ Limited,759992117,1.15,Health Information Services
MYS.AX,MyState Limited,768589654,4.51,Banks - Regional
WIA.AX,WIA Gold Limited,739285000,0.5,Gold
PPM.AX,Pepper Money Limited,745702204,1.66,Credit Services
LRV.AX,Larvotto Resources Limited,741028460,1.43,Other Precious Metals & Mining
DJW.AX,Djerriwarrh Investments Limited,741262510,2.82,Asset Management
OPT.AX,Opthea Limited,820786880,0.6,Biotechnology
IEL.AX,IDP Education Limited,768207942,2.76,Education & Training Services
ING.AX,Inghams Group Limited,726633620,1.955,Farm Products
EUR.AX,European Lithium Limited,593493397,0.415,Other Industrial Metals & Mining
C79.AX,Chrysos Corporation Limited,703592334,6.04,Software - Application
SGR.AX,The Star Entertainment Group Limited,335622294,0.105,Resorts & Casinos
IPG.AX,IPD Group Limited,660273768,6.35,Specialty Industrial Machinery
RXL.AX,Rox Resources Limited,339031343,0.45,Gold
DUR.AX,Duratec Limited,663471200,2.57,Engineering & Construction
TVN.AX,Tivan Limited,646616948,0.285,Other Industrial Metals & Mining
TVNO.AX,Tivan Limited,,0.02,Gold And Silver Ores
SHA.AX,SHAPE Australia Corporation Limited,642867302,7.7,Engineering & Construction
OML.AX,oOh!media Limited,713086200,1.35,Advertising Agencies
HM1.AX,Hearts and Minds Investments Limited,627411138,2.74,Asset Management
TCG.AX,Turaco Gold Limited,621766643,0.59,Gold
SYL.AX,Symal Group Limited,621774400,2.61,Engineering & Construction
SMI.AX,Santana Minerals Limited,401100944,0.625,Other Precious Metals & Mining
SRV.AX,Servcorp Limited,632826390,6.34,Real Estate Services
CWP.AX,Cedar Woods Properties Limited,608291627,7.15,Real Estate - Development
MEI.AX,Meteoric Resources NL,577538599,0.2,Other Industrial Metals & Mining
FPR.AX,FleetPartners Group Limited,610168716,2.83,Rental & Leasing Services
CHN.AX,Chalice Mining Limited,601777084,1.545,Other Industrial Metals & Mining
GLN.AX,Galan Lithium Limited,571792639,0.455,Other Industrial Metals & Mining
LIC.AX,Lifestyle Communities Limited,588004461,4.83,Real Estate - Diversified
FML.AX,Focus Minerals Limited,584579636,2.04,Gold
MAU.AX,Magnetic Resources NL,576136306,1.95,Other Industrial Metals & Mining
MAUCA.AX,Magnetic Resources NL,508181768,1.72,Other Industrial Metals & Mining
TPW.AX,Temple & Webster Group Ltd,585738320,4.87,Specialty Retail
MIR.AX,Mirrabooka Investments Limited,559646905,2.5,Asset Management
COF.AX,Centuria Office REIT,558510095,0.935,REIT - Office
AMI.AX,Aurelia Metals Limited,550355584,0.325,Other Industrial Metals & Mining
BOE.AX,Boss Energy Limited,547963516,1.32,Uranium
EHL.AX,Emeco Holdings Limited,549477183,1.06,Rental & Leasing Services
JMS.AX,Jupiter Mines Limited,540608750,0.275,Other Industrial Metals & Mining
AIS.AX,Aeris Resources Limited,443960431,0.445,Other Industrial Metals & Mining
GWA.AX,GWA Group Limited,546322533,2.06,Building Products & Equipment
A1M.AX,AIC Mines Limited,522440983,0.655,Other Precious Metals & Mining
SKC.AX,SkyCity Entertainment Group Limited,411433891,0.475,Resorts & Casinos
RAC.AX,Racura Oncology Ltd,516387720,2.76,Biotechnology
SHV.AX,Select Harvests Limited,513008577,3.61,Packaged Foods
AEL.AX,Amplitude Energy Limited,404945115,1.68,Oil & Gas Exploration & Production
OBL.AX,Omni Bridgeway Limited,502528870,1.735,Asset Management
LYL.AX,Lycopodium Limited,508674893,12.8,Engineering & Construction
EQT.AX,EQT Holdings Limited,500482032,18.68,Asset Management
NMG.AX,New Murchison Gold Limited,499753200,0.046,Other Industrial Metals & Mining
UNI.AX,Universal Store Holdings Limited,509426112,6.64,Apparel Retail
ASL.AX,Andean Silver Limited,322502303,2.29,Gold
STX.AX,Strike Energy Limited,485918595,0.135,Oil & Gas Exploration & Production
NXL.AX,Nuix Limited,484415360,1.43,Software - Application
29M.AX,29Metals Limited,376383333,0.275,Other Precious Metals & Mining
USL.AX,Unico Silver Limited,379968810,0.76,Silver
PFP.AX,Propel Funeral Partners Limited,478768371,3.47,Personal Services
CUV.AX,Clinuvel Pharmaceuticals Limited,477390276,9.47,Biotechnology
AGI.AX,Ainsworth Game Technology Limited,471511600,1.4,Gambling
ASG.AX,Autosports Group Limited,470808888,2.21,Auto & Truck Dealerships
AEF.AX,Australian Ethical Investment Limited,466703324,4.1,Asset Management
AUC.AX,Ausgold Limited,363001467,0.845,Gold
INR.AX,ioneer Ltd,461194500,0.15,Other Industrial Metals & Mining
PC2.AX,PC Gold Limited,458949056,1.455,Gold
JIN.AX,Jumbo Interactive Limited,457872285,7.23,Gambling
BFG.AX,Bell Financial Group Limited,455456406,1.42,Capital Markets
SGQ.AX,St George Mining Limited,317964190,0.115,Other Industrial Metals & Mining
CDP.AX,Carindale Property Trust,447608322,5.41,REIT - Retail
BTL.AX,Beetaloo Energy Australia Limited,374408320,0.3,Oil & Gas Exploration & Production
EOL.AX,Energy One Limited,442480781,14.05,Software - Application
AFG.AX,Australian Finance Group Limited,433457200,1.595,Mortgage Finance
MYR.AX,Myer Holdings Limited,432686550,0.25,Department Stores
AZY.AX,Antipa Minerals Limited,430745250,0.65,Other Precious Metals & Mining
MMI.AX,Metro Mining Limited,20969403,1.365,Other Industrial Metals & Mining
SVM.AX,Sovereign Metals Limited,426374650,0.65,Other Industrial Metals & Mining
CGS.AX,Cogstate Limited,425775060,2.49,Health Information Services
OMA.AX,Omega Oil & Gas Limited,296594054,0.82,Oil & Gas Exploration & Production
ASM.AX,Australian Strategic Materials Ltd,307897500,1.525,Other Industrial Metals & Mining
MGX.AX,MGX Resources Limited,413150057,0.35,Steel
KSC.AX,K&S Corporation Limited,410541000,3,Integrated Freight & Logistics
IGL.AX,IVE Group Limited,404380955,2.63,Advertising Agencies
VYS.AX,Vysarn Limited,400858070,0.76,Engineering & Construction
CVW.AX,ClearView Wealth Limited,401964484,0.64,Insurance - Life
BTR.AX,Brightstar Resources Limited,188258507,0.36,Gold
TYR.AX,Tyro Payments Limited,395615376,0.745,Software - Infrastructure
THL.AX,Tourism Holdings Limited,379354570,1.715,Recreational Vehicles
WTN.AX,Winton Land Limited,673313181,2.27,Real Estate - Development
SVL.AX,Silver Mines Limited,387968400,0.18,Farm Products
MTM.AX,Metallium Limited,326137109,0.525,Other Industrial Metals & Mining
MEK.AX,Meeka Metals Limited,382965465,0.13,Gold
MPW.AX,Metal Powder Works Limited,214820453,2.55,Other Industrial Metals & Mining
CTM.AX,Centaurus Metals Limited,381891460,0.675,Other Industrial Metals & Mining
HCW.AX,HealthCo Healthcare and Wellness REIT,379621384,0.69,REIT - Healthcare Facilities
BLX.AX,Beacon Lighting Group Limited,378414300,1.65,Specialty Retail
TOK.AX,Tolu Minerals Limited,294227877,1.46,Other Precious Metals & Mining
SPZ.AX,Smart Parking Limited,377789230,0.91,Infrastructure Operations
TTT.AX,Titomic Limited,377432747,0.235,Specialty Industrial Machinery
GTK.AX,Gentrack Group Limited,392455648,3.49,Software - Infrastructure
HZN.AX,Horizon Oil Limited,366207413,0.225,Oil & Gas Exploration & Production
DXC.AX,Dexus Convenience Retail REIT,373718629,2.71,REIT - Retail
PBH.AX,PointsBet Holdings Limited,363228415,1.045,Gambling
QOR.AX,Qoria Limited,364170792,0.265,Software - Infrastructure
SKT.AX,SKY Network Television Limited,359331776,2.61,Entertainment
HCH.AX,Hot Chili Limited,265845149,1.76,Copper
STK.AX,Strickland Metals Limited,297211333,0.135,Other Precious Metals & Mining
LGI.AX,LGI Limited,308234902,3.47,Utilities - Renewable
MYG.AX,Mayfield Group Holdings Limited,294608927,3.01,Communication Equipment
ACL.AX,Australian Clinical Labs Limited,355639204,1.895,Diagnostics & Research
BRN.AX,BrainChip Holdings Ltd,369467577,0.155,Semiconductors
COG.AX,COG Financial Services Limited,351900450,1.65,Capital Markets
VMM.AX,Viridis Mining and Minerals Limited,343084100,2.65,Other Industrial Metals & Mining
RMC.AX,Resimac Group Limited,348065520,0.88,Mortgage Finance
MM8.AX,Medallion Metals Limited,272302750,0.435,Other Precious Metals & Mining
KGN.AX,Kogan.com Ltd,342324612,3.58,Internet Retail
BM1.AX,Ballard Mining Limited,356865568,0.75,Gold
AX1.AX,Accent Group Limited,339669906,0.565,Apparel Retail
PPS.AX,Praemium Limited,338793040,0.695,Capital Markets
SST.AX,Steamships Trading Company Limited,331788125,10.7,Integrated Freight & Logistics
AIH.AX,Advanced Innergy Holdings Limited,329427968,0.78,Specialty Industrial Machinery
CEL.AX,Challenger Gold Limited,270974040,0.135,Other Precious Metals & Mining
3DA.AX,Amaero Ltd,219246235,0.345,Other Industrial Metals & Mining
APX.AX,Appen Limited,328324390,1.225,Information Technology Services
HUM.AX,Humm Group Limited,325350736,0.645,Credit Services
TRE.AX,Toubani Resources Limited,56223580,0.42,Gold
DUG.AX,DUG Technology Ltd,322473340,2.38,Information Technology Services
GDI.AX,GDI Property Group,321194090,0.595,Real Estate Services
CAY.AX,Canyon Resources Limited,319627834,0.155,Other Industrial Metals & Mining
NVA.AX,Nova Minerals Limited,301035472,0.66,Other Industrial Metals & Mining
BCN.AX,Beacon Minerals Limited,316386539,2.82,Gold
PAC.AX,Pacific Current Group Limited,318306065,11,Asset Management
TGN.AX,Tungsten Mining NL,246096739,0.225,Other Industrial Metals & Mining
GG8.AX,Gorilla Gold Mines Ltd,300387730,0.41,Gold
RHI.AX,Red Hill Minerals Limited,308299200,4.8,Other Industrial Metals & Mining
AFP.AX,AFT Pharmaceuticals Limited,286284890,2.73,Drug Manufacturers - Specialty & Generic
WHI.AX,Whitefield Income Limited,220413760,1.365,Asset Management
POL.AX,Polymetals Resources Ltd,246202280,0.975,Gold
NSX:SUG.AX,Sugar Terminals Limited,,0.82,Public Warehousing And Storage
AAR.AX,Astral Resources NL,228968566,0.16,Gold
MVF.AX,Monash IVF Group Limited,284433433,0.73,Diagnostics & Research
FID.AX,Fiducian Group Ltd,283792931,8.99,Asset Management
TBR.AX,Tribune Resources Limited,283327616,5.4,Gold
AQI.AX,Alicanto Minerals Limited,124950095,1.75,Other Precious Metals & Mining
MRT.AX,Maritana Minerals Limited,198135040,0.76,Gold
BAP.AX,Bapcor Limited,134073457,0.395,Specialty Retail
SVR.AX,Solvar Limited,282354863,1.495,Credit Services
STN.AX,Saturn Metals Limited,237238730,0.515,Gold
AMH.AX,AMCIL Limited,279843621,0.885,Asset Management
TM1.AX,Terra Metals Limited,221179583,0.285,Other Precious Metals & Mining
GRX.AX,GreenX Metals Limited,273969502,0.88,Copper
TOR.AX,Torque Metals Limited,211419480,0.42,Gold
KOA.AX,The Koala Company Limited,,3,Furniture Stores
WTM.AX,Waratah Minerals Limited,101567520,0.68,Other Industrial Metals & Mining
EXR.AX,Elixir Energy Limited,198405083,0.135,Oil & Gas Exploration & Production
SPL.AX,Starpharma Holdings Limited,260975360,0.62,Biotechnology
SXL.AX,Southern Cross Media Group Limited,130877415,0.545,Entertainment
CYM.AX,Cyprium Metals Limited,79908750,0.45,Copper
ERM.AX,Emmerson Resources Limited,259543830,0.39,Gold
AUE.AX,Aurum Resources Limited,258054982,0.64,Other Industrial Metals & Mining
AMA.AX,AMA Group Limited,257593773,0.535,Auto & Truck Dealerships
MCM.AX,MC Mining Limited,266151375,0.315,Thermal Coal
BHM.AX,Broken Hill Mines Limited,27166875,0.81,Other Precious Metals & Mining
PSC.AX,Prospect Resources Limited,240136366,0.295,Other Industrial Metals & Mining
ACF.AX,Acrow Limited,255480020,0.82,Engineering & Construction
ORN.AX,Orion Minerals Limited,238635589,0.029,Other Industrial Metals & Mining
SS1.AX,Sun Silver Limited,254856509,1.385,Other Precious Metals & Mining
BOC.AX,Bougainville Copper Limited,254674688,0.635,Other Precious Metals & Mining
EBR.AX,"EBR Systems, Inc.",254496224,0.565,Medical Devices
DAI.AX,Decidr AI Industries Ltd,235486912,0.725,Software - Infrastructure
XRF.AX,XRF Scientific Limited,253180800,1.77,Conglomerates
TTX.AX,Tetratherix Limited,253828325,5,Biotechnology
SFC.AX,Schaffer Corporation Limited,252789010,18.6,Auto Parts
HLS.AX,Healius Limited,250523758,0.345,Diagnostics & Research
FEX.AX,Fenix Resources Limited,248612975,0.325,Steel
ALR.AX,Altair Minerals Limited,248456075,0.039,Other Industrial Metals & Mining
SKY.AX,Sky Metals Limited,195891583,0.25,Gold
EGH.AX,Eureka Group Holdings Limited,244476403,0.57,Real Estate Services
WWI.AX,West Wits Mining Limited,24557528,0.565,Gold
ATR.AX,Astron Corporation Limited,119867688,0.54,Other Industrial Metals & Mining
SLS.AX,Solstice Minerals Limited,152990901,1.35,Other Industrial Metals & Mining
A11.AX,Atlantic Lithium Limited,252473445,0.315,Other Industrial Metals & Mining
TGM.AX,Theta Gold Mines Limited,242920902,0.21,Gold
SYR.AX,Syrah Resources Limited,120862241,0.105,Other Industrial Metals & Mining
AEM.AX,Advanced Energy Minerals Limited,,0.435,Other
AS1.AX,Asara Resources Limited,240926674,0.15,Gold
CVN.AX,Carnarvon Energy Limited,205744991,0.115,Oil & Gas Exploration & Production
PGC.AX,Paragon Care Limited,240019281,0.145,Medical Distribution
BML.AX,Boab Metals Limited,109415026,0.415,Other Industrial Metals & Mining
HAV.AX,Havilah Resources Limited,238897625,0.675,Gold
CVC.AX,CVC Limited,237938064,2.04,Asset Management
ACE.AX,Acusensus Limited,199378502,1.41,Software - Infrastructure
MM1.AX,Midas Minerals Limited,149665939,0.98,Other Precious Metals & Mining
CBE.AX,Cobre Limited,125467492,0.245,Other Industrial Metals & Mining
CBEO.AX,Cobre Limited,,0.17,Metal Mining
ARR.AX,American Rare Earths Limited,235179198,0.41,Other Industrial Metals & Mining
