Ticker,Company,Market Cap,Country
CAE.TO,CAE Inc.,11.87B,Canada
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,5.40B,Canada
CAS.TO,Cascades Inc.,1.09B,Canada
CCA.TO,Cogeco Communications Inc.,2.69B,Canada
CCL-A.TO,CCL Industries Inc.,14.59B,Canada
CCL-B.TO,CCL Industries Inc.,14.59B,Canada
CCM.TO,Canagold Resources Ltd.,111.25M,Canada
CCO.TO,Cameco Corporation,69.68B,Canada
CDR.TO,Condor Energies Inc.,219.20M,Canada
CEMX.TO,CEMATRIX Corporation,82.39M,Canada
CEU.TO,CES Energy Solutions Corp.,3.75B,Canada
CF.TO,Canaccord Genuity Group Inc.,1.26B,Canada
CFF.TO,Conifex Timber Inc.,4.69M,Canada
CFP.TO,Canfor Corporation,1.49B,Canada
CFW.TO,Calfrac Well Services Ltd.,534.23M,Canada
CG.TO,Centerra Gold Inc.,4.98B,Canada
CGG.TO,China Gold International Resources Corp. Ltd.,11.94B,Canada
CGO.TO,Cogeco Inc.,604.11M,Canada
CGX.TO,Cineplex Inc.,743.43M,Canada
CGY.TO,Calian Group Ltd.,791.23M,Canada
CHE-UN.TO,Chemtrade Logistics Income Fund,1.98B,Canada
CHP-UN.TO,Choice Properties Real Estate Investment Trust,5.08B,Canada
CHR.TO,Chorus Aviation Inc.,569.66M,Canada
CIGI.TO,Colliers International Group Inc.,6.92B,Canada
CJ.TO,Cardinal Energy Ltd.,2.15B,Canada
CJR-B.TO,Corus Entertainment Inc.,5.98M,Canada
CJT.TO,Cargojet Inc.,1.21B,Canada
CKI.TO,Clarke Inc.,344.96M,Canada
CLCH.TO,Clinch Resources Ltd.,461.91M,Canada
CLS.TO,Celestica Inc.,59.11B,Canada
CM.TO,Canadian Imperial Bank of Commerce,138.58B,Canada
CMG.TO,Computer Modelling Group Ltd.,315.66M,Canada
CNL.TO,Collective Mining Ltd.,2.31B,Canada
CNQ.TO,Canadian Natural Resources Limited,126.67B,Canada
CNR.TO,Canadian National Railway Company,92.79B,Canada
COPR.TO,Coppernico Metals Inc.,80.14M,Canada
CP.TO,Canadian Pacific Kansas City Limited,104.48B,Canada
CPH.TO,Cipher Pharmaceuticals Inc.,501.22M,Canada
CPKR.TO,Canada Packers Inc.,543.62M,Canada
CPX.TO,Capital Power Corporation,10.35B,Canada
CRDL.TO,Cardiol Therapeutics Inc.,201.37M,Canada
CRON.TO,Cronos Group Inc.,1.31B,Canada
CRR-UN.TO,Crombie Real Estate Investment Trust,3.20B,Canada
CRRX.TO,CareRx Corporation,222.06M,Canada
CRT-UN.TO,CT Real Estate Investment Trust,4.19B,Canada
CRWN.TO,Crown Capital Partners Inc.,3.77M,Canada
CS.TO,Capstone Copper Corp.,9.64B,Canada
CSCI.TO,COSCIENS Biopharma Inc.,8.25M,Canada
CSH-UN.TO,Chartwell Retirement Residences,7.01B,Canada
CSU.TO,Constellation Software Inc.,54.50B,Canada
CSW-A.TO,Corby Spirit and Wine Limited,433.48M,Canada
CSW-B.TO,Corby Spirit and Wine Limited,433.48M,Canada
CTC.TO,"Canadian Tire Corporation, Limited",10.18B,Canada
CTC-A.TO,"Canadian Tire Corporation, Limited",10.18B,Canada
CTX.TO,Crescita Therapeutics Inc.,14.15M,Canada
CU.TO,Canadian Utilities Limited,13.13B,Canada
CURA.TO,"Curaleaf Holdings, Inc.",4.21B,Canada
CVE.TO,Cenovus Energy Inc.,72.69B,Canada
CVG.TO,Clairvest Group Inc.,1.03B,Canada
CVO.TO,Coveo Solutions Inc.,428.92M,Canada
CVVY.TO,Cavvy Energy Ltd.,420.35M,Canada
CWEB.TO,"Charlotte's Web Holdings, Inc.",99.55M,Canada
CWL.TO,The Caldwell Partners International Inc.,26.84M,Canada
D-UN.TO,Dream Office Real Estate Investment Trust,282.48M,Canada
DBM.TO,Doman Building Materials Group Ltd.,901.33M,Canada
DBO.TO,D-BOX Technologies Inc.,199.97M,Canada
DC-A.TO,Dundee Corporation,394.37M,Canada
DCBO.TO,Docebo Inc.,835.90M,Canada
DCM.TO,DATA Communications Management Corp.,94.05M,Canada
DFY.TO,Definity Financial Corporation,8.24B,Canada
DGX.TO,Digi Power X Inc.,639.62M,Canada
DHT-UN.TO,DRI Healthcare Trust,881.93M,Canada
DIAM.TO,Star Diamond Corporation,23.22M,Canada
DII-A.TO,Dorel Industries Inc.,56.30M,Canada
DII-B.TO,Dorel Industries Inc.,56.30M,Canada
DIV.TO,Diversified Royalty Corp.,742.77M,Canada
DLCG.TO,Dominion Lending Centres Inc.,744.93M,Canada
DML.TO,Denison Mines Corp.,4.63B,Canada
DND.TO,Dye & Durham Limited,201.52M,Canada
DNG.TO,Dynacor Group Inc.,257.95M,Canada
DOL.TO,Dollarama Inc.,47.07B,Canada
DOO.TO,BRP Inc.,5.76B,Canada
DPM.TO,DPM Metals Inc.,10.50B,Canada
DR.TO,Medical Facilities Corporation,299.58M,Canada
DRM.TO,Dream Unlimited Corp.,824.30M,Canada
DRT.TO,DIRTT Environmental Solutions Ltd.,151.07M,Canada
DRX.TO,ADF Group Inc.,300.09M,Canada
DSG.TO,The Descartes Systems Group Inc.,8.51B,Canada
DSV.TO,Discovery Silver Corp.,7.85B,Canada
DTOL.TO,D2L Inc.,515.62M,Canada
DXT.TO,Dexterra Group Inc.,783.90M,Canada
DYA.TO,dynaCERT Inc.,78.78M,Canada
E.TO,"Enterprise Group, Inc.",111.81M,Canada
EAGR.TO,East Side Games Group Inc.,8.46M,Canada
ECO.TO,EcoSynthetix Inc.,184.19M,Canada
EDR.TO,Endeavour Silver Corp.,4.07B,Canada
EDT.TO,Spectral Medical Inc.,419.59M,Canada
EFN.TO,Element Fleet Management Corp.,11.09B,Canada
EFR.TO,Energy Fuels Inc.,7.31B,Canada
EFX.TO,Enerflex Ltd.,4.53B,Canada
EGLX.TO,Enthusiast Gaming Holdings Inc.,6.37M,Canada
EIF.TO,Exchange Income Corporation,5.56B,Canada
ELD.TO,Eldorado Gold Corporation,12.16B,Canada
ELE.TO,Elemental Royalty Corporation,1.66B,Canada
ELEF.TO,Silver Elephant Mining Corp.,9.47M,Canada
ELF.TO,E-L Financial Corporation Limited,6.12B,Canada
ELO.TO,Eloro Resources Ltd.,266.83M,Canada
ELR.TO,Eastern Platinum Limited,104.52M,Canada
ELVA.TO,Electrovaya Inc.,713.14M,Canada
EMA.TO,Emera Incorporated,22.01B,Canada
EMP-A.TO,Empire Company Limited,10.48B,Canada
ENB.TO,Enbridge Inc.,160.13B,Canada
ENGH.TO,Enghouse Systems Limited,975.70M,Canada
EPRX.TO,Eupraxia Pharmaceuticals Inc.,634.10M,Canada
EQB.TO,EQB Inc.,4.30B,Canada
EQX.TO,Equinox Gold Corp.,15.42B,Canada
ERD.TO,Erdene Resource Development Corporation,406.78M,Canada
ERO.TO,Ero Copper Corp.,4.06B,Canada
ESI.TO,Ensign Energy Services Inc.,705.04M,Canada
ESM.TO,Euro Sun Mining Inc.,82.07M,Canada
ET.TO,Evertz Technologies Limited,1.23B,Canada
ETG.TO,Entrée Resources Ltd.,540.20M,Canada
EXE.TO,Extendicare Inc.,3.16B,Canada
FC.TO,Firm Capital Mortgage Investment Corporation,441.60M,Canada
FCD-UN.TO,Firm Capital Property Trust,243.71M,Canada
FCR-UN.TO,First Capital Real Estate Investment Trust,4.98B,Canada
FDY.TO,Faraday Copper Corp.,1.54B,Canada
FEC.TO,Frontera Energy Corporation,977.59M,Canada
FF.TO,First Mining Gold Corp.,692.10M,Canada
FFH.TO,Fairfax Financial Holdings Limited,51.82B,Canada
FIH-U.TO,Fairfax India Holdings Corporation,3.23B,Canada
FLNT.TO,Flint Corp.,180.40M,Canada
FLT.TO,Volatus Aerospace Inc.,462.00M,Canada
FM.TO,First Quantum Minerals Ltd.,28.99B,Canada
FMR.TO,Future Mineral Resources Inc.,5.08M,Canada
FNV.TO,Franco-Nevada Corporation,61.22B,Canada
FOOD.TO,Goodfood Market Corp.,22.89M,Canada
FORA.TO,VerticalScope Holdings Inc.,61.35M,Canada
FRU.TO,Freehold Royalties Ltd.,2.84B,Canada
FRX.TO,Fennec Pharmaceuticals Inc.,329.31M,Canada
FSV.TO,FirstService Corporation,8.47B,Canada
FSY.TO,Forsys Metals Corp.,91.77M,Canada
FSZ.TO,Fiera Capital Corporation,607.75M,Canada
FT.TO,Fortune Minerals Limited,104.04M,Canada
FTG.TO,Firan Technology Group Corporation,525.62M,Canada
FTS.TO,Fortis Inc.,39.07B,Canada
FTT.TO,Finning International Inc.,12.73B,Canada
FURY.TO,Fury Gold Mines Limited,154.95M,Canada
FVI.TO,Fortuna Mining Corp.,4.47B,Canada
FVL.TO,Freegold Ventures Limited,693.24M,Canada
GASX.TO,NG Energy International Corp.,416.09M,Canada
GAU.TO,Galiano Gold Inc.,911.86M,Canada
GBT.TO,BMTC Group Inc.,425.00M,Canada
GCU.TO,Gunnison Copper Corp.,188.15M,Canada
GDC.TO,Genesis Land Development Corp.,188.01M,Canada
GDL.TO,Goodfellow Inc.,97.81M,Canada
GEC.TO,Global Education Communities Corp.,20.50M,Canada
GEI.TO,Gibson Energy Inc.,4.84B,Canada
GENM.TO,Generation Mining Limited,212.44M,Canada
GFL.TO,GFL Environmental Inc.,18.18B,Canada
GFP.TO,GreenFirst Forest Products Inc.,47.45M,Canada
GFR.TO,Greenfire Resources Ltd.,992.43M,Canada
GGD.TO,GoGold Resources Inc.,1.30B,Canada
GH.TO,Gamehost Inc.,279.38M,Canada
GIB-A.TO,CGI Inc.,19.55B,Canada
GIL.TO,Gildan Activewear Inc.,15.02B,Canada
GLO.TO,Global Atomic Corporation,392.23M,Canada
GMIN.TO,G Mining Ventures Corp.,12.77B,Canada
GMX.TO,Globex Mining Enterprises Inc.,131.19M,Canada
GO-U.TO,GO Residential Real Estate Investment Trust,527.08M,Canada
GOLD.TO,GoldMining Inc.,353.10M,Canada
GOOS.TO,Canada Goose Holdings Inc.,1.59B,Canada
GRA.TO,NanoXplore Inc.,393.83M,Canada
GRC.TO,Gold Springs Resource Corp.,21.23M,Canada
GRGD.TO,Groupe Dynamite Inc.,10.53B,Canada
GRID.TO,Tantalus Systems Holding Inc.,336.00M,Canada
GRN.TO,Greenlane Renewables Inc.,38.31M,Canada
GRT-UN.TO,Granite Real Estate Investment Trust,5.67B,Canada
GSY.TO,goeasy Ltd.,528.95M,Canada
GTWO.TO,G2 Goldfields Inc.,3.11B,Canada
GUD.TO,Knight Therapeutics Inc.,853.81M,Canada
GURU.TO,GURU Organic Energy Corp.,117.11M,Canada
GVC.TO,Glacier Media Inc.,45.90M,Canada
GWO.TO,Great-West Lifeco Inc.,68.49B,Canada
H.TO,Hydro One Limited,35.26B,Canada
HAI.TO,Haivision Systems Inc.,180.56M,Canada
HBM.TO,Hudbay Minerals Inc.,13.61B,Canada
HBP.TO,Helix BioPharma Corp.,125.26M,Canada
HFPC-U.TO,Helios Fairfax Partners Corporation,268.32M,Canada
HLF.TO,High Liner Foods Incorporated,393.99M,Canada
HLS.TO,HLS Therapeutics Inc.,146.67M,Canada
HMM-A.TO,Hammond Manufacturing Company Limited,181.24M,Canada
HOM-U.TO,BSR Real Estate Investment Trust,550.81M,Canada
HOM-UN.TO,BSR Real Estate Investment Trust,550.81M,Canada
HOT-UN.TO,American Hotel Income Properties REIT LP,39.46M,Canada
HPS-A.TO,Hammond Power Solutions Inc.,3.70B,Canada
HR-UN.TO,H&R Real Estate Investment Trust,2.83B,Canada
HSLV.TO,Highlander Silver Corp.,1.67B,Canada
HWO.TO,High Arctic Energy Services Inc,10.67M,Canada
HWX.TO,Headwater Exploration Inc.,2.98B,Canada
IAG.TO,iA Financial Corporation Inc.,14.87B,Canada
IAU.TO,i-80 Gold Corp.,1.86B,Canada
ICE.TO,Canlan Ice Sports Corp.,56.02M,Canada
IFA.TO,iFabric Corp.,128.77M,Canada
IFC.TO,Intact Financial Corporation,45.08B,Canada
IFP.TO,Interfor Corporation,623.47M,Canada
IGM.TO,IGM Financial Inc.,18.00B,Canada
III.TO,Imperial Metals Corporation,1.12B,Canada
IIP-UN.TO,InterRent Real Estate Investment Trust,1.85B,Canada
ILLM.TO,illumin Holdings Inc.,44.03M,Canada
IMG.TO,IAMGOLD Corporation,14.79B,Canada
IMO.TO,Imperial Oil Limited,84.00B,Canada
IMP.TO,Intermap Technologies Corporation,148.30M,Canada
INO-UN.TO,Inovalis Real Estate Investment Trust,26.79M,Canada
IPCO.TO,International Petroleum Corporation,4.03B,Canada
IPO.TO,InPlay Oil Corp.,454.24M,Canada
IS.TO,Infrastructure Dividend Split Corp.,93.04M,Canada
ISC.TO,Information Services Corporation,833.85M,Canada
ISO.TO,IsoEnergy Ltd.,1.01B,Canada
ITH.TO,International Tower Hill Mines Ltd.,918.35M,Canada
IVN.TO,Ivanhoe Mines Ltd.,16.83B,Canada
IVQ.TO,Invesque Inc.,109.62M,Canada
IVQ-U.TO,Invesque Inc.,109.62M,Canada
JAG.TO,Jaguar Mining Inc.,603.29M,Canada
JOY.TO,Journey Energy Inc.,423.11M,Canada
JWEL.TO,Jamieson Wellness Inc.,1.46B,Canada
K.TO,Kinross Gold Corporation,51.50B,Canada
KBL.TO,K-Bro Linen Inc.,514.77M,Canada
KEC.TO,Kiwetinohk Energy Corp.,1.11B,Canada
KEI.TO,Kolibri Global Energy Inc.,250.80M,Canada
KEL.TO,Kelt Exploration Ltd.,1.97B,Canada
KEY.TO,Keyera Corp.,11.81B,Canada
KITS.TO,Kits Eyecare Ltd.,397.69M,Canada
KLS.TO,Kelso Technologies Inc.,7.19M,Canada
KMP-UN.TO,Killam Apartment REIT,2.18B,Canada
KNT.TO,K92 Mining Inc.,6.52B,Canada
KPT.TO,KP Tissue Inc.,114.35M,Canada
KRN.TO,Karnalyte Resources Inc.,18.92M,Canada
KSI.TO,"kneat.com, inc.",447.01M,Canada
KXS.TO,Kinaxis Inc.,4.34B,Canada
L.TO,Loblaw Companies Limited,70.68B,Canada
LABS.TO,MediPharm Labs Corp.,36.11M,Canada
LAC.TO,Lithium Americas Corp.,2.65B,Canada
LAM.TO,Laramide Resources Ltd.,209.90M,Canada
LAS-A.TO,Lassonde Industries Inc.,1.51B,Canada
LB.TO,Laurentian Bank of Canada,1.80B,Canada
LCFS.TO,Tidewater Renewables Ltd.,384.77M,Canada
LGD.TO,Liberty Gold Corp.,792.63M,Canada
LGO.TO,Largo Inc.,131.37M,Canada
LIF.TO,Labrador Iron Ore Royalty Corporation,1.82B,Canada
LMCU.TO,Lumina Metals Corp.,1.20B,Canada
LNF.TO,Leon's Furniture Limited,1.72B,Canada
LNR.TO,Linamar Corporation,5.68B,Canada
LOVE.TO,Cannara Biotech Inc.,173.86M,Canada
LSPD.TO,Lightspeed Commerce Inc.,1.85B,Canada
LUC.TO,Lucara Diamond Corp.,350.39M,Canada
LUG.TO,Lundin Gold Inc.,23.21B,Canada
LUN.TO,Lundin Mining Corporation,31.79B,Canada
MAL.TO,Magellan Aerospace Corporation,1.54B,Canada
MARI.TO,Marimaca Copper Corp.,1.15B,Canada
MATR.TO,Mattr Corp.,586.75M,Canada
MAU.TO,Montage Gold Corp.,5.84B,Canada
MBX.TO,Microbix Biosystems Inc.,34.51M,Canada
MCB.TO,McCoy Global Inc.,66.78M,Canada
MDA.TO,MDA Space Ltd.,6.56B,Canada
MDI.TO,Major Drilling Group International Inc.,1.38B,Canada
MDNA.TO,Medicenna Therapeutics Corp.,52.55M,Canada
MDP.TO,Medexus Pharmaceuticals Inc.,129.06M,Canada
MEQ.TO,Mainstreet Equity Corp.,1.64B,Canada
MER.TO,Meren Energy Inc.,1.58B,Canada
MFC.TO,Manulife Financial Corporation,91.32B,Canada
MFI.TO,Maple Leaf Foods Inc.,3.65B,Canada
MG.TO,Magna International Inc.,23.50B,Canada
MGA.TO,Mega Uranium Ltd.,284.09M,Canada
MHC-U.TO,Flagship Communities Real Estate Investment Trust,509.30M,Canada
MHC-UN.TO,Flagship Communities Real Estate Investment Trust,509.30M,Canada
MI-UN.TO,Minto Apartment Real Estate Investment Trust,645.84M,Canada
MKP.TO,MCAN Mortgage Corporation,1.01B,Canada
MKZ-UN.TO,Mackenzie Master Limited Partnership,3.19M,Canada
MOLY.TO,Greenland Resources Inc.,213.73M,Canada
MPC.TO,Madison Pacific Properties Inc.,281.28M,Canada
MPC-C.TO,Madison Pacific Properties Inc.,281.28M,Canada
MPVD.TO,Mountain Province Diamonds Inc.,9.57M,Canada
MRC.TO,Morguard Corporation,1.31B,Canada
MRD.TO,Melcor Developments Ltd.,554.79M,Canada
MRE.TO,Martinrea International Inc.,765.65M,Canada
MRG-UN.TO,Morguard North American Residential Real Estate Investment Trust,594.06M,Canada
MRT-UN.TO,Morguard Real Estate Investment Trust,435.38M,Canada
MRU.TO,Metro Inc.,18.83B,Canada
MSCL.TO,Satellos Bioscience Inc.,213.73M,Canada
MSV.TO,Minco Silver Corporation,29.58M,Canada
MTEK.TO,Metatek-Group Ltd.,185.24M,Canada
MTL.TO,Mullen Group Ltd.,2.03B,Canada
MTY.TO,MTY Food Group Inc.,890.36M,Canada
MX.TO,Methanex Corporation,6.37B,Canada
MXG.TO,Maxim Power Corp.,280.33M,Canada
NA.TO,National Bank of Canada,80.11B,Canada
NANO.TO,Nano One Materials Corp.,113.79M,Canada
NCF.TO,Northcliff Resources Ltd.,235.41M,Canada
NDM.TO,Northern Dynasty Minerals Ltd.,1.63B,Canada
NEO.TO,Neo Performance Materials Inc.,1.22B,Canada
NEXT.TO,NextSource Materials Inc.,85.93M,Canada
NFI.TO,NFI Group Inc.,2.55B,Canada
NG.TO,NovaGold Resources Inc.,5.26B,Canada
NGEX.TO,NGEx Minerals Ltd.,5.77B,Canada
NOA.TO,North American Construction Group Ltd.,553.26M,Canada
NOU.TO,Nouveau Monde Graphite Inc.,451.92M,Canada
NPI.TO,Northland Power Inc.,6.09B,Canada
NPS.TO,Canadian Large Cap Leaders Split Corp.,32.60M,Canada
NTR.TO,Nutrien Ltd.,44.88B,Canada
NUAG.TO,New Pacific Metals Corp.,1.44B,Canada
NVO.TO,Novo Resources Corp.,32.22M,Canada
NWC.TO,The North West Company Inc.,2.38B,Canada
NXE.TO,NexGen Energy Ltd.,10.99B,Canada
