Ticker,Company,Market Cap,Country
RBA.TO,"RB Global, Inc.",26.34B,Canada
RBY.TO,Rubellite Energy Corp.,301.98M,Canada
RCH.TO,Richelieu Hardware Ltd.,2.09B,Canada
RCI-A.TO,Rogers Communications Inc.,27.37B,Canada
RCI-B.TO,Rogers Communications Inc.,27.37B,Canada
REAL.TO,Real Matters Inc.,438.31M,Canada
REI-UN.TO,RioCan Real Estate Investment Trust,6.38B,Canada
RFA.TO,RFA Financial Inc.,1.12B,Canada
RGSI.TO,Rockpoint Gas Storage Inc.,1.51B,Canada
RIC.TO,Richards Group Inc.,312.27M,Canada
RIO.TO,Rio2 Limited,1.72B,Canada
RM.TO,Roxmore Resources Inc.,291.64M,Canada
ROOT.TO,Roots Corporation,153.26M,Canada
RPR-UN.TO,Ravelin Properties REIT,2.02M,Canada
RSI.TO,Rogers Sugar Inc.,852.97M,Canada
RUA.TO,Rua Gold Inc.,156.31M,Canada
RUP.TO,Rupert Resources Ltd.,2.57B,Canada
RUS.TO,Russel Metals Inc.,3.13B,Canada
RVX.TO,Resverlogix Corp.,31.67M,Canada
RY.TO,Royal Bank of Canada,347.46B,Canada
S.TO,Sherritt International Corporation,94.94M,Canada
SAM.TO,Starcore International Mines Ltd.,72.57M,Canada
SAP.TO,Saputo Inc.,16.61B,Canada
SCR.TO,Strathcona Resources Ltd.,8.98B,Canada
SDE.TO,Spartan Delta Corp.,2.55B,Canada
SEA.TO,Seabridge Gold Inc.,4.59B,Canada
SEC.TO,Senvest Capital Inc.,896.19M,Canada
SES.TO,SECURE Waste Infrastructure Corp.,4.76B,Canada
SFD.TO,NXT Energy Solutions Inc.,45.47M,Canada
SFI.TO,Solution Financial Inc.,23.13M,Canada
SGD.TO,Snowline Gold Corp.,2.78B,Canada
SGR-U.TO,Slate Grocery REIT,971.30M,Canada
SGR-UN.TO,Slate Grocery REIT,971.30M,Canada
SGY.TO,Surge Energy Inc.,958.76M,Canada
SHLE.TO,Source Energy Services Ltd.,196.60M,Canada
SHOP.TO,Shopify Inc.,196.13B,Canada
SIA.TO,Sienna Senior Living Inc.,2.43B,Canada
SII.TO,Sprott Inc.,4.98B,Canada
SIS.TO,Savaria Corporation,2.04B,Canada
SJ.TO,Stella-Jones Inc.,3.89B,Canada
SKE.TO,Skeena Resources Limited,5.30B,Canada
SLF.TO,Sun Life Financial Inc.,53.11B,Canada
SLS.TO,Solaris Resources Inc.,2.33B,Canada
SLT.TO,Saltire Capital Ltd.,45.43M,Canada
SLT-U.TO,Saltire Capital Ltd.,45.43M,Canada
SOBO.TO,South Bow Corporation,9.91B,Canada
SOIL.TO,Saturn Oil & Gas Inc.,1.18B,Canada
SPB.TO,Superior Plus Corp.,1.61B,Canada
SRU-UN.TO,SmartCentres Real Estate Investment Trust,4.12B,Canada
SRV-UN.TO,SIR Royalty Income Fund,131.50M,Canada
SSRM.TO,SSR Mining Inc.,9.70B,Canada
STC.TO,Sangoma Technologies Corporation,191.69M,Canada
STCK.TO,Stack Capital Group Inc.,443.74M,Canada
STGO.TO,Steppe Gold Ltd.,364.07M,Canada
STLR.TO,STLLR Gold Inc.,280.92M,Canada
STN.TO,Stantec Inc.,13.64B,Canada
SU.TO,Suncor Energy Inc.,103.41B,Canada
SVA.TO,Sernova Biotherapeutics Inc,59.65M,Canada
SVI.TO,StorageVault Canada Inc.,1.58B,Canada
SVM.TO,Silvercorp Metals Inc.,4.09B,Canada
SWP.TO,Swiss Water Decaffeinated Coffee Inc.,51.13M,Canada
SXGC.TO,Southern Cross Gold Consolidated Ltd.,2.68B,Canada
SXP.TO,Supremex Inc.,90.03M,Canada
SYZ.TO,Sylogist Ltd.,89.35M,Canada
T.TO,TELUS Corporation,27.48B,Canada
TA.TO,TransAlta Corporation,5.21B,Canada
TAL.TO,PetroTal Corp.,515.38M,Canada
TBL.TO,Taiga Building Products Ltd.,381.04M,Canada
TCL-A.TO,Transcontinental Inc.,469.37M,Canada
TCL-B.TO,Transcontinental Inc.,469.37M,Canada
TCS.TO,Tecsys Inc.,509.93M,Canada
TCW.TO,Trican Well Service Ltd.,1.42B,Canada
TD.TO,The Toronto-Dominion Bank,245.23B,Canada
TECK-A.TO,Teck Resources Limited,43.45B,Canada
TECK-B.TO,Teck Resources Limited,43.45B,Canada
TELY.TO,TelyRx Holdings Inc.,131.03M,Canada
TF.TO,Timbercreek Financial Corp.,548.65M,Canada
TFII.TO,TFI International Inc.,15.62B,Canada
TFPM.TO,Triple Flag Precious Metals Corp.,9.41B,Canada
TGO.TO,TeraGo Inc.,37.07M,Canada
THNC.TO,Thinkific Labs Inc.,92.55M,Canada
TI.TO,Titan Mining Corporation,326.32M,Canada
TIH.TO,Toromont Industries Ltd.,17.72B,Canada
TINY.TO,Tiny Ltd.,165.52M,Canada
TKO.TO,Taseko Mines Limited,3.74B,Canada
TLG.TO,Troilus Mining Corp.,989.43M,Canada
TMQ.TO,Trilogy Metals Inc.,1.08B,Canada
TNT-UN.TO,True North Commercial Real Estate Investment Trust,116.61M,Canada
TNZ.TO,Tenaz Energy Corp.,1.95B,Canada
TOT.TO,Total Energy Services Inc.,822.34M,Canada
TOU.TO,Tourmaline Oil Corp.,25.31B,Canada
TOY.TO,Spin Master Corp.,2.00B,Canada
TPX-A.TO,Molson Coors Canada Inc.,607.41M,Canada
TPX-B.TO,Molson Coors Canada Inc.,607.41M,Canada
TPZ.TO,Topaz Energy Corp.,4.87B,Canada
TRI.TO,Thomson Reuters Corporation,55.41B,Canada
TRP.TO,TC Energy Corporation,92.33B,Canada
TRX.TO,TRX Gold Corporation,560.03M,Canada
TRZ.TO,Transat A.T. Inc.,109.45M,Canada
TSAT.TO,Telesat Corporation,1.14B,Canada
TSK.TO,Talisker Resources Ltd.,303.61M,Canada
TSL.TO,Tree Island Steel Ltd.,65.21M,Canada
TSND.TO,TerrAscend Corp.,297.18M,Canada
TSU.TO,Trisura Group Ltd.,2.00B,Canada
TVA-B.TO,TVA Group Inc.,41.05M,Canada
TVE.TO,Tamarack Valley Energy Ltd.,5.78B,Canada
TVK.TO,TerraVest Industries Inc.,2.78B,Canada
TWC.TO,TWC Enterprises Limited,585.90M,Canada
TWM.TO,Tidewater Midstream and Infrastructure Ltd.,338.12M,Canada
TXG.TO,Torex Gold Resources Inc.,6.40B,Canada
TXP.TO,Touchstone Exploration Inc.,55.20M,Canada
UNI.TO,Unisync Corp.,47.91M,Canada
URC.TO,Uranium Royalty Corp.,804.79M,Canada
URE.TO,Ur-Energy Inc.,949.62M,Canada
USA.TO,Americas Gold and Silver Corporation,2.94B,Canada
VBNK.TO,VersaBank,829.92M,Canada
VCM.TO,Vecima Networks Inc.,321.93M,Canada
VET.TO,Vermilion Energy Inc.,2.48B,Canada
VGZ.TO,Vista Gold Corp.,446.45M,Canada
VHI.TO,Vitalhub Corp.,506.08M,Canada
VITL-UN.TO,Vital Infrastructure Property Trust,1.43B,Canada
VLE.TO,Valeura Energy Inc.,1.33B,Canada
VLN.TO,Velan Inc.,335.01M,Canada
VMET.TO,Versamet Royalties Corporation,1.78B,Canada
VNP.TO,5N Plus Inc.,3.38B,Canada
VOXR.TO,Vox Royalty Corp.,562.23M,Canada
VRTS.TO,Vertiqal Studios Corp.,8.66M,Canada
VZLA.TO,Vizsla Silver Corp.,1.69B,Canada
WCM-A.TO,Wilmington Capital Management Inc.,31.04M,Canada
WCM-B.TO,Wilmington Capital Management Inc.,31.04M,Canada
WCN.TO,"Waste Connections, Inc.",52.81B,Canada
WCP.TO,Whitecap Resources Inc.,18.97B,Canada
WDO.TO,Wesdome Gold Mines Ltd.,4.17B,Canada
WEED.TO,Canopy Growth Corporation,586.46M,Canada
WEF.TO,Western Forest Products Inc.,151.40M,Canada
WELL.TO,WELL Health Technologies Corp.,1.06B,Canada
WFC.TO,Wall Financial Corporation,510.54M,Canada
WFG.TO,West Fraser Timber Co. Ltd.,6.63B,Canada
WILD.TO,WildBrain Ltd.,290.79M,Canada
WJX.TO,Wajax Corporation,645.17M,Canada
WM.TO,Wallbridge Mining Company Limited,91.69M,Canada
WN.TO,George Weston Limited,36.21B,Canada
WNDR.TO,WonderFi Technologies Inc.,223.31M,Canada
WPK.TO,Winpak Ltd.,2.38B,Canada
WPM.TO,Wheaton Precious Metals Corp.,86.26B,Canada
WPRT.TO,Westport Fuel Systems Inc.,47.32M,Canada
WRG.TO,Western Energy Services Corp.,101.89M,Canada
WRN.TO,Western Copper and Gold Corporation,947.64M,Canada
WRX.TO,Western Resources Corp.,16.33M,Canada
WSP.TO,WSP Global Inc.,29.06B,Canada
WTE.TO,Westshore Terminals Investment Corporation,2.34B,Canada
X.TO,TMX Group Limited,15.28B,Canada
XLY.TO,Auxly Cannabis Group Inc.,200.54M,Canada
XNDU.TO,Xanadu Quantum Technologies Limited,6.42B,Canada
XTC.TO,Exco Technologies Limited,287.59M,Canada
XTRA.TO,Xtract One Technologies Inc.,122.17M,Canada
Y.TO,Yellow Pages Limited,180.79M,Canada
YGR.TO,Yangarra Resources Ltd.,145.72M,Canada
YRB.TO,Yorbeau Resources Inc.,28.52M,Canada
