Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
BYW.DE,BayWa Aktiengesellschaft,259738597,13.25,-16.93%,Conglomerates,54,-0.85,1.92%
BYW6.DE,BayWa Aktiengesellschaft,96930659,2.66,-2.03%,Conglomerates,16386,-0.17,-2.80%
ERAG.DE,Ernst Russ AG,277599832,8.2,-1.20%,Marine Shipping,7968,4.07,10.81%
JDC.DE,JDC Group AG,283949127,20.9,1.46%,Financial Conglomerates,5643,251.11,-4.65%
WEW.DE,Westwing Group SE,271483647,14.85,0.68%,"Furnishings, Fixtures & Appliances",44750,130,1.70%
VIH1.DE,VIB Vermögen AG,264436696,8,-0.50%,Real Estate Services,2309,2.79,5.46%
TIW.DE,Tin Inn Holding Ag,,13,,Hotels & Entertainment Services,170,,13.04%
LUS1.DE,Lang & Schwarz Aktiengesellschaft,265207800,28.3,2.54%,Capital Markets,4646,9.04,6.04%
XTP.DE,Sino AG,243100000,103,-1.44%,Capital Markets,1409,242.25,10.51%
XK4.DE,Gabler Group AG,,37,-1.60%,Electrical Industrial Apparatus,261,,-12.90%
SB1.DE,Smartbroker Holding AG,214800026,12.8,-1.54%,Financial Data & Stock Exchanges,11,-47.41,9.40%
TTR1.DE,technotrans SE,205848417,28.95,-5.24%,Specialty Industrial Machinery,23608,20.81,1.40%
CA1.DE,Circus SE,187213152,8.29,4.94%,Software - Infrastructure,28198,,-3.57%
SBS.DE,Stratec SE,208352846,17.34,0.93%,Medical Devices,4812,-61.21,-2.65%
Z29.DE,029 Group SE,203000000,40.6,,Asset Management,100,,-1.46%
MPCK.DE,MPC Münchmeyer Petersen Capital AG,191751753,5.44,-1.09%,Asset Management,13246,8.27,6.67%
BKHT.DE,Brockhaus Technologies AG,189102755,18.1,-2.43%,Credit Services,6026,-3.37,9.70%
HMU.DE,HMS Bergbau AG,179443721,39.5,-3.66%,Thermal Coal,1435,13.31,-11.43%
NF4.DE,Netfonds AG,184070000,79,,Financial Conglomerates,65,103.95,0.64%
VVV3.DE,Ökoworld AG,182518565,27.9,0.36%,Financial Conglomerates,995,7.9,4.10%
AEIN.DE,Allgeier SE,174557986,15.1,-3.21%,Information Technology Services,8472,28.92,-13.96%
2HRA.DE,H&R GmbH & Co. KGaA,178292163,4.8,0.21%,Specialty Chemicals,4,-4.61,19.45%
HAW.DE,Hawesko Holding SE,177871379,20,1.01%,Beverages - Wineries & Distilleries,442,17.2,-1.48%
DKG.DE,Deutsche Konsum Real Estate AG,78093407,1.52,-2.26%,REIT - Retail,33479,-2.31,-10.36%
MED.DE,MEDICLIN Aktiengesellschaft,170050000,3.58,,Medical Care Facilities,1555,4.78,1.13%
AAG.DE,Aumann AG,174046561,12.85,-1.15%,Specialty Industrial Machinery,1820,11.11,-1.15%
A1OS.DE,All for One Group SE,160921304,33,-5.17%,Information Technology Services,3006,22.78,-4.01%
MXHN.DE,MAX Automation SE,160848406,3.87,-0.51%,Specialty Industrial Machinery,118,199,-7.58%
UBK.DE,UmweltBank AG,159377295,3.84,-0.26%,Banks - Regional,1343,193,-2.33%
TTK.DE,TAKKT AG,159132753,2.61,5.03%,Business Equipment & Supplies,41779,-1.26,0.58%
ADE.DE,Bitcoin Group SE,157900000,31.46,-0.38%,Asset Management,6673,-394.75,3.99%
SKB.DE,Koenig & Bauer AG,156489695,9.54,0.74%,Specialty Industrial Machinery,2375,-11.69,4.52%
SUR.DE,Surteco Group SE,152731450,9.85,-1.50%,"Furnishings, Fixtures & Appliances",161,-33.97,-3.43%
LEI.DE,Leifheit Aktiengesellschaft,153902542,17.15,1.78%,Household & Personal Products,6053,25.07,7.55%
GSC1.DE,Gesco SE,147693189,14.3,-1.04%,Specialty Industrial Machinery,1339,20.56,-1.72%
LIK.DE,LIMES Schlosskliniken AG,145423232,496,,Medical Care Facilities,10,31.25,2.48%
QB7.DE,Quirin Privatbank AG,147603938,3.32,-2.35%,Banks - Regional,4,13.36,-1.19%
