Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
NC5A.DE,NorCom Information Technology GmbH & Co. KGaA,3508314,1.69,-2.54%,Specialty Business Services,566,-5.68,29.25%
PDA0.DE,PRO DV AG,3210666,2.24,,Information Technology Services,162,8.44,5.66%
PGH.DE,SGT German Private Equity GmbH & Co. KGaA,2722708,0.35,18.37%,Asset Management,864,-0.86,-28.10%
AV2.DE,Avemio AG,2999802,0.78,-7.14%,Consulting Services,5550,,44.98%
M5S.DE,H2 Core AG,3145536,0.31,15.67%,Asset Management,0,,10.71%
PO1.DE,POB AG,2951321,1.61,,Software - Application,0,,7.33%
NUVA.DE,Noratis AG,2456338,0.18,-9.50%,Real Estate - Development,11084,-0.09,-30.92%
CRZK.DE,CR Energy AG,8322514,0.35,-19.73%,Asset Management,335138,8.85,-23.54%
WDL1.DE,Nakiki SE,2848532,0.33,-3.19%,Specialty Retail,4060,-0.35,16.78%
G6P0.DE,Going Public Media Aktiengesellschaft,1128000,3.66,-2.66%,Publishing,155,10.74,1.11%
27N0.DE,Cannovum Cannabis AG,933700,0.4,,Drug Manufacturers - Specialty & Generic,2667,,-0.49%
UMD.DE,UMT United Mobility Technology AG,645484,1.23,0.82%,Software - Infrastructure,4,,-15.86%
75S.DE,sdm SE,266116,0.07,,Security & Protection Services,0,,-91.08%
WIG1.DE,Sporttotal AG,1009598,0.03,-3.39%,Entertainment,101097,-0.09,
ENG.DE,EV Digital Invest AG,,0.01,,Mortgage Bankers and Loan Correspondents,0,,-98.15%
ENG.DE,,,,,,,,
